Date,Purchasable,Regular Price,Best Price,Unit Price,Promotions,Remarks
2021-04-01,true,6345.00,6345.00,2115.00,,
2021-04-02,true,6282.00,6282.00,2094.00,,
2021-04-03,true,6282.00,6282.00,2094.00,,
2021-04-04,true,6282.00,6282.00,2094.00,,
2021-04-05,true,6282.00,6282.00,2094.00,,
2021-04-07,true,6282.00,6282.00,2094.00,,
2021-04-08,true,6282.00,6282.00,2094.00,,
2021-04-09,true,6282.00,6282.00,2094.00,,
2021-04-10,true,6282.00,6282.00,2094.00,,
2021-04-11,true,6282.00,6282.00,2094.00,,
2021-04-12,true,6282.00,6282.00,2094.00,,
2021-04-13,true,6282.00,6282.00,2094.00,,
