Date,Purchasable,Regular Price,Best Price,Unit Price,Promotions,Remarks
2021-01-01,true,5955.00,5955.00,1985.00,,
2021-01-02,true,5955.00,5955.00,1985.00,,
2021-01-03,true,5955.00,5955.00,1985.00,,
2021-01-04,true,5955.00,5955.00,1985.00,,
2021-01-05,true,5955.00,5955.00,1985.00,,
2021-01-06,true,NaN,NaN,NaN,,
2021-01-07,true,NaN,NaN,NaN,,
2021-01-08,true,5955.00,5955.00,1985.00,,
2021-01-09,true,NaN,NaN,NaN,,
2021-01-10,true,5955.00,5955.00,1985.00,,
2021-01-11,true,NaN,NaN,NaN,,
2021-01-12,true,NaN,NaN,NaN,,
2021-01-13,true,5955.00,5955.00,1985.00,,
