Date,Purchasable,Regular Price,Best Price,Unit Price,Promotions,Remarks
2021-03-01,true,2818.00,2818.00,1409.00,,
2021-03-02,true,2818.00,2818.00,1409.00,,
2021-03-03,true,2818.00,2818.00,1409.00,,
2021-03-04,true,2818.00,2818.00,1409.00,,
2021-03-05,true,2818.00,2818.00,1409.00,,
2021-03-06,true,2818.00,2818.00,1409.00,,
2021-03-07,true,2818.00,2818.00,1409.00,,
2021-03-08,true,2818.00,2818.00,1409.00,,
2021-03-09,true,2818.00,2818.00,1409.00,,
2021-03-10,true,2818.00,2818.00,1409.00,,
2021-03-11,true,2818.00,2818.00,1409.00,,
2021-03-12,true,2818.00,2818.00,1409.00,,
2021-03-13,true,2818.00,2818.00,1409.00,,
2021-03-14,true,2818.00,2818.00,1409.00,,
2021-03-15,true,2818.00,2818.00,1409.00,,
2021-03-16,true,2818.00,2818.00,1409.00,,
2021-03-17,true,2818.00,2818.00,1409.00,,
2021-03-18,true,2818.00,2818.00,1409.00,,
2021-03-19,true,2818.00,2818.00,1409.00,,
