Date,Purchasable,Regular Price,Best Price,Unit Price,Promotions,Remarks
2021-04-01,true,5663.00,5663.00,1887.67,,
2021-04-02,true,5663.00,5663.00,1887.67,,
2021-04-03,true,5663.00,5663.00,1887.67,,
2021-04-04,true,5663.00,5663.00,1887.67,,
2021-04-05,true,5663.00,5663.00,1887.67,,
2021-04-07,true,5663.00,5663.00,1887.67,,
2021-04-08,true,5663.00,5663.00,1887.67,,
2021-04-09,true,5663.00,5663.00,1887.67,,
2021-04-10,true,5663.00,5663.00,1887.67,,
2021-04-11,true,5663.00,5663.00,1887.67,,
2021-04-12,true,5663.00,5663.00,1887.67,,
2021-04-13,true,5663.00,5663.00,1887.67,,
2021-04-14,true,5663.00,5663.00,1887.67,,
2021-04-15,true,5663.00,5663.00,1887.67,,
2021-04-16,true,5663.00,5663.00,1887.67,,
