Date,Purchasable,Regular Price,Best Price,Unit Price,Promotions,Remarks
2021-04-01,false,180.00,118.00,59.00,,
2021-04-02,false,180.00,118.00,59.00,,
2021-04-03,false,180.00,118.00,59.00,,
2021-04-04,false,180.00,118.00,59.00,,
2021-04-05,false,180.00,118.00,59.00,,
2021-04-07,false,180.00,118.00,59.00,,
2021-04-13,false,180.00,118.00,59.00,,
2021-04-14,false,180.00,118.00,59.00,,
2021-04-15,false,180.00,118.00,59.00,,
2021-04-17,false,180.00,118.00,59.00,,
2021-04-18,false,180.00,118.00,59.00,,
