Date,Purchasable,Regular Price,Best Price,Unit Price,Promotions,Remarks
2021-02-01,false,128.00,60.00,60.00,"****買2件$118.00  
平均****$59.00****
****買4件$228.00  
平均****$57.00****
****買6件$330.00  
平均****$55.00****
**【新春牛mall王】2月1日限定!**
結賬時輸入 ""5NEWYR21"" 精選產品享額外95折 ！ 只限2月1日！現附上「電子版．新春牛mall王購物攻略」，即睇更多激筍優惠！",
2021-02-02,false,128.00,60.00,60.00,"****買2件$118.00  
平均****$59.00****
****買4件$228.00  
平均****$57.00****
****買6件$330.00  
平均****$55.00****",
2021-02-03,false,128.00,60.00,60.00,"****買2件$118.00  
平均****$59.00****
****買4件$228.00  
平均****$57.00****
****買6件$330.00  
平均****$55.00****",
2021-02-04,false,128.00,60.00,60.00,"****買2件$118.00  
平均****$59.00****
****買4件$228.00  
平均****$57.00****
****買6件$330.00  
平均****$55.00****",
2021-02-05,false,128.00,60.00,60.00,"****買2件$118.00  
平均****$59.00****
****買4件$228.00  
平均****$57.00****
****買6件$330.00  
平均****$55.00****",
2021-02-06,false,128.00,60.00,60.00,"****買2件$118.00  
平均****$59.00****
****買4件$228.00  
平均****$57.00****
****買6件$330.00  
平均****$55.00****",
2021-02-07,false,128.00,60.00,60.00,"****買2件$118.00  
平均****$59.00****
****買4件$228.00  
平均****$57.00****
****買6件$330.00  
平均****$55.00****",
2021-02-08,false,128.00,60.00,60.00,"****買2件$118.00  
平均****$59.00****
****買4件$228.00  
平均****$57.00****
****買6件$330.00  
平均****$55.00****",
2021-02-09,false,128.00,60.00,60.00,"****買2件$118.00  
平均****$59.00****
****買4件$228.00  
平均****$57.00****
****買6件$330.00  
平均****$55.00****",
2021-02-10,false,128.00,60.00,60.00,"****買2件$118.00  
平均****$59.00****
****買4件$228.00  
平均****$57.00****
****買6件$330.00  
平均****$55.00****",
2021-02-11,false,128.00,60.00,60.00,"****買2件$118.00  
平均****$59.00****
****買4件$228.00  
平均****$57.00****
****買6件$330.00  
平均****$55.00****",
