Date,Purchasable,Regular Price,Best Price,Unit Price,Promotions,Remarks
2021-02-01,false,78.00,68.80,68.80,,
2021-02-02,false,78.00,68.80,68.80,,
2021-02-03,false,78.00,68.80,68.80,,
2021-02-04,false,78.00,68.80,68.80,,
2021-02-05,false,78.00,68.80,68.80,,
2021-02-06,false,78.00,68.80,68.80,,
2021-02-07,false,78.00,68.80,68.80,,
2021-02-08,false,78.00,68.80,68.80,,
2021-02-09,false,78.00,68.80,68.80,,
2021-02-10,false,78.00,68.80,68.80,,
2021-02-11,false,78.00,68.80,68.80,,
2021-02-12,false,78.00,68.80,68.80,,
2021-02-13,false,78.00,68.80,68.80,,
2021-02-14,false,78.00,68.80,68.80,,
2021-02-15,false,78.00,68.80,68.80,,
2021-02-16,false,78.00,68.80,68.80,,
2021-02-17,false,78.00,68.80,68.80,,
2021-02-18,false,78.00,68.80,68.80,,
2021-02-19,false,78.00,68.80,68.80,,
2021-02-20,false,78.00,68.80,68.80,,
