Date,Purchasable,Regular Price,Best Price,Unit Price,Promotions,Remarks
2021-02-01,false,90.00,60.00,60.00,,
2021-02-02,false,90.00,60.00,60.00,,
2021-02-03,false,90.00,60.00,60.00,,
2021-02-04,false,90.00,60.00,60.00,,
2021-02-05,false,90.00,60.00,60.00,,
2021-02-06,false,90.00,60.00,60.00,,
2021-02-07,false,90.00,60.00,60.00,,
2021-02-08,false,90.00,60.00,60.00,,
2021-02-09,false,90.00,60.00,60.00,,
2021-02-10,false,90.00,60.00,60.00,,
2021-02-11,false,90.00,60.00,60.00,,
2021-02-12,false,90.00,60.00,60.00,,
2021-02-13,false,90.00,60.00,60.00,,
2021-02-14,false,90.00,60.00,60.00,,
2021-02-15,false,90.00,60.00,60.00,,
2021-02-16,false,90.00,60.00,60.00,,
2021-02-17,false,90.00,60.00,60.00,,
2021-02-18,false,90.00,60.00,60.00,,
2021-02-19,false,90.00,60.00,60.00,,
2021-02-20,false,90.00,60.00,60.00,,
2021-02-21,false,90.00,60.00,60.00,,
2021-02-22,false,90.00,60.00,60.00,,
2021-02-23,false,90.00,60.00,60.00,,
2021-02-24,false,90.00,60.00,60.00,,
2021-02-25,false,90.00,60.00,60.00,,
2021-02-26,false,90.00,60.00,60.00,,
2021-02-27,false,90.00,60.00,60.00,,
2021-02-28,false,90.00,60.00,60.00,,
