Date,Purchasable,Regular Price,Best Price,Unit Price,Promotions,Remarks
2021-04-01,false,46.00,36.60,36.60,,
2021-04-02,false,46.00,36.60,36.60,,
2021-04-03,false,46.00,36.60,36.60,,
2021-04-04,false,46.00,36.60,36.60,,
2021-04-05,false,46.00,36.60,36.60,,
2021-04-07,false,46.00,36.60,36.60,,
2021-04-13,false,46.00,36.60,36.60,,
2021-04-14,false,46.00,36.60,36.60,,
2021-04-15,false,46.00,36.60,36.60,,
2021-04-17,false,46.00,36.60,36.60,,
2021-04-18,false,46.00,36.60,36.60,,
2021-04-19,false,46.00,36.60,36.60,,
2021-04-20,false,46.00,36.60,36.60,,
2021-04-21,false,46.00,36.60,36.60,,
2021-04-22,false,46.00,36.60,36.60,,
2021-04-23,false,46.00,36.60,36.60,,
2021-04-24,false,46.00,36.60,36.60,,
2021-04-25,false,46.00,36.60,36.60,,
2021-04-26,false,46.00,36.60,36.60,,
2021-04-27,false,46.00,36.60,36.60,,
