Date,Purchasable,Regular Price,Best Price,Unit Price,Promotions,Remarks
2021-01-01,true,46.00,36.60,36.60,,
2021-01-02,true,46.00,36.60,36.60,,
2021-01-03,true,46.00,36.60,36.60,,
2021-01-04,true,46.00,36.60,36.60,,
2021-01-05,true,46.00,36.60,36.60,,
2021-01-06,true,46.00,36.60,36.60,,
2021-01-07,true,46.00,36.60,36.60,,
2021-01-08,false,46.00,36.60,36.60,,
2021-01-09,false,46.00,36.60,36.60,,
2021-01-10,false,46.00,36.60,36.60,,
2021-01-11,false,46.00,36.60,36.60,,
2021-01-12,false,46.00,36.60,36.60,,
2021-01-13,false,46.00,36.60,36.60,,
2021-01-14,false,46.00,36.60,36.60,,
2021-01-15,false,46.00,36.60,36.60,,
2021-01-16,false,46.00,36.60,36.60,,
2021-01-17,false,46.00,36.60,36.60,,
2021-01-18,false,46.00,36.60,36.60,,
2021-01-19,false,46.00,36.60,36.60,,
2021-01-20,false,46.00,36.60,36.60,,
2021-01-21,false,46.00,36.60,36.60,,
