Date,Purchasable,Regular Price,Best Price,Unit Price,Promotions,Remarks
2021-02-01,true,36.90,31.90,0.66,"**+$換購**
買指定產品+$換購芝士<>BR每單交易可享此優惠3次。  
換購貨品數量有限，換完即止。
**【新春牛mall王】2月1日限定!**
結賬時輸入 ""5NEWYR21"" 精選產品享額外95折 ！ 只限2月1日！現附上「電子版．新春牛mall王購物攻略」，即睇更多激筍優惠！",
2021-02-02,true,36.90,31.90,0.66,"**+$換購**
買指定產品+$換購芝士<>BR每單交易可享此優惠3次。  
換購貨品數量有限，換完即止。
**精選屈臣氏產品滿$188減$18**
精選屈臣氏產品滿$188減$18  
每宗交易優惠只限最多一次。數量有限，售完即止! 最終之專享價將顯示於結賬頁面。",
2021-02-03,true,36.90,31.90,0.66,"**+$換購**
買指定產品+$換購芝士<>BR每單交易可享此優惠3次。  
換購貨品數量有限，換完即止。
**精選屈臣氏產品滿$188減$18**
精選屈臣氏產品滿$188減$18  
每宗交易優惠只限最多一次。數量有限，售完即止! 最終之專享價將顯示於結賬頁面。",
2021-02-04,true,36.90,31.90,0.66,"**+$換購**
買指定產品+$換購芝士<>BR每單交易可享此優惠3次。  
換購貨品數量有限，換完即止。
**精選屈臣氏產品滿$188減$18**
精選屈臣氏產品滿$188減$18  
每宗交易優惠只限最多一次。數量有限，售完即止! 最終之專享價將顯示於結賬頁面。",
2021-02-05,true,36.90,31.90,0.66,"**+$換購**
買指定產品+$換購芝士<>BR每單交易可享此優惠3次。  
換購貨品數量有限，換完即止。
**精選屈臣氏產品滿$188減$18**
精選屈臣氏產品滿$188減$18  
每宗交易優惠只限最多一次。數量有限，售完即止! 最終之專享價將顯示於結賬頁面。",
2021-02-06,true,36.90,31.90,0.66,"**+$換購**
買指定產品+$換購芝士<>BR每單交易可享此優惠3次。  
換購貨品數量有限，換完即止。
**精選屈臣氏產品滿$188減$18**
精選屈臣氏產品滿$188減$18  
每宗交易優惠只限最多一次。數量有限，售完即止! 最終之專享價將顯示於結賬頁面。",
2021-02-07,true,36.90,31.90,0.66,"**+$換購**
買指定產品+$換購芝士<>BR每單交易可享此優惠3次。  
換購貨品數量有限，換完即止。
**精選屈臣氏產品滿$188減$18**
精選屈臣氏產品滿$188減$18  
每宗交易優惠只限最多一次。數量有限，售完即止! 最終之專享價將顯示於結賬頁面。",
2021-02-08,true,36.90,31.90,0.66,"**+$換購**
買指定產品+$換購芝士<>BR每單交易可享此優惠3次。  
換購貨品數量有限，換完即止。",
2021-02-09,true,36.90,31.90,0.66,"**+$換購**
買指定產品+$換購芝士<>BR每單交易可享此優惠3次。  
換購貨品數量有限，換完即止。",
2021-02-10,true,36.90,31.90,0.66,"**+$換購**
買指定產品+$換購芝士<>BR每單交易可享此優惠3次。  
換購貨品數量有限，換完即止。",
2021-02-11,true,36.90,31.90,0.66,"**+$換購**
買指定產品+$換購芝士<>BR每單交易可享此優惠3次。  
換購貨品數量有限，換完即止。",
2021-02-12,true,36.90,31.90,0.66,"**+$換購**
買指定產品+$換購芝士<>BR每單交易可享此優惠3次。  
換購貨品數量有限，換完即止。",
2021-02-13,true,36.90,31.90,0.66,"**+$換購**
買指定產品+$換購芝士<>BR每單交易可享此優惠3次。  
換購貨品數量有限，換完即止。",
2021-02-14,true,36.90,31.90,0.66,"**+$換購**
買指定產品+$換購芝士<>BR每單交易可享此優惠3次。  
換購貨品數量有限，換完即止。",
2021-02-15,true,36.90,31.90,0.66,"**+$換購**
買指定產品+$換購芝士<>BR每單交易可享此優惠3次。  
換購貨品數量有限，換完即止。",
2021-02-16,true,36.90,31.90,0.66,"**+$換購**
買指定產品+$換購芝士<>BR每單交易可享此優惠3次。  
換購貨品數量有限，換完即止。",
2021-02-17,true,36.90,31.90,0.66,"**+$換購**
買指定產品+$換購芝士<>BR每單交易可享此優惠3次。  
換購貨品數量有限，換完即止。
**【網上食品展 X BB展 X 寵物展】額外95折優惠!**
結賬時輸入DV7fair5即享額外95折 ！ 優惠只適用於2月17日！現附上「電子版．三大展覽購物攻略」，即睇更多激筍優惠！",
2021-02-18,true,36.90,31.90,0.66,"**+$換購**
買指定產品+$換購芝士<>BR每單交易可享此優惠3次。  
換購貨品數量有限，換完即止。",
2021-02-19,true,36.90,31.90,0.66,"**+$換購**
買指定產品+$換購芝士<>BR每單交易可享此優惠3次。  
換購貨品數量有限，換完即止。",
2021-02-20,true,36.90,31.90,0.66,"**+$換購**
買指定產品+$換購芝士<>BR每單交易可享此優惠3次。  
換購貨品數量有限，換完即止。",
2021-02-21,true,36.90,31.90,0.66,"**+$換購**
買指定產品+$換購芝士<>BR每單交易可享此優惠3次。  
換購貨品數量有限，換完即止。",
2021-02-22,true,36.90,31.90,0.66,"**+$換購**
買指定產品+$換購芝士<>BR每單交易可享此優惠3次。  
換購貨品數量有限，換完即止。",
2021-02-23,true,36.90,31.90,0.66,"**+$換購**
買指定產品+$換購芝士<>BR每單交易可享此優惠3次。  
換購貨品數量有限，換完即止。",
2021-02-24,true,36.90,31.90,0.66,"**$8 redeem Korean CJ kimchi**
Buy designated items +$8,$18 redeem  
worldwide quality items.  
Available while stock lasts
**+$換購**
買指定產品+$換購芝士<>BR每單交易可享此優惠3次。  
換購貨品數量有限，換完即止。",
2021-02-25,true,36.90,31.90,0.66,"**$8換 韓版CJ 韓式炒泡菜**
買3件指定產品【市集世界】加推：超值價換購 24款 韓國泰國 新登場人氣美食  
+$8,$18 體驗韓式泰式特色生活！  
買指定產品加錢換購，貨品數量有限，換完即止。
**+$換購**
買指定產品+$換購芝士<>BR每單交易可享此優惠3次。  
換購貨品數量有限，換完即止。",
2021-02-26,true,36.90,31.90,0.66,"**$8換 韓版CJ 韓式炒泡菜**
買3件指定產品【市集世界】加推：超值價換購 24款 韓國泰國 新登場人氣美食  
+$8,$18 體驗韓式泰式特色生活！  
買指定產品加錢換購，貨品數量有限，換完即止。
**+$換購**
買指定產品+$換購芝士<>BR每單交易可享此優惠3次。  
換購貨品數量有限，換完即止。
**【網上食品展 X BB展 X 寵物展】額外95折優惠!**
結賬時輸入 ""DV8fair5""即享額外95折 ！ 優惠只適用於2月26日！現附上「電子版．三大展覽購物攻略」，即睇更多激筍優惠！",
2021-02-27,true,36.90,31.90,0.66,"**$8換 韓版CJ 韓式炒泡菜**
買3件指定產品【市集世界】加推：超值價換購 24款 韓國泰國 新登場人氣美食  
+$8,$18 體驗韓式泰式特色生活！  
買指定產品加錢換購，貨品數量有限，換完即止。
**+$換購**
買指定產品+$換購芝士<>BR每單交易可享此優惠3次。  
換購貨品數量有限，換完即止。",
