Date,Purchasable,Regular Price,Best Price,Unit Price,Promotions,Remarks
2021-03-01,true,81.90,80.10,80.10,"**高潔絲換購優惠！**
凡購買任何指定產品，即可以$14.3 / $27.5 換購高潔絲精選產品！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期至2021年3月8日。",
2021-03-02,true,81.90,80.10,80.10,"**高潔絲換購優惠！**
凡購買任何指定產品，即可以$14.3 / $27.5 換購高潔絲精選產品！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期至2021年3月8日。
**滴潔超濃縮洗潔精換購優惠！**
凡購買指定產品，即可以$14.9換購高露潔精選產品！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期至2021年3月31日。",
2021-03-03,true,81.90,80.10,80.10,"**高潔絲換購優惠！**
凡購買任何指定產品，即可以$14.3 / $27.5 換購高潔絲精選產品！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期至2021年3月8日。
**滴潔超濃縮洗潔精換購優惠！**
凡購買指定產品，即可以$14.9換購高露潔精選產品！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期至2021年3月31日。",
2021-03-04,true,81.90,80.10,80.10,"**高潔絲換購優惠！**
凡購買任何指定產品，即可以$14.3 / $27.5 換購高潔絲精選產品！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期至2021年3月8日。
**滴潔超濃縮洗潔精換購優惠！**
凡購買指定產品，即可以$14.9換購高露潔精選產品！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期至2021年3月31日。
**C&S黃色三層軟抽纸巾換購優惠！**
凡購買指定產品，即可以$20.5換購黃色三層軟抽纸巾！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期由2021年3月4日至2021年3月11日。",
2021-03-05,true,81.90,80.10,80.10,"**高潔絲換購優惠！**
凡購買任何指定產品，即可以$14.3 / $27.5 換購高潔絲精選產品！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期至2021年3月8日。
**滴潔超濃縮洗潔精換購優惠！**
凡購買指定產品，即可以$14.9換購高露潔精選產品！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期至2021年3月31日。
**C&S黃色三層軟抽纸巾換購優惠！**
凡購買指定產品，即可以$20.5換購黃色三層軟抽纸巾！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期由2021年3月4日至2021年3月11日。",
2021-03-06,true,81.90,80.10,80.10,"**滴潔超濃縮洗潔精換購優惠！**
凡購買指定產品，即可以$14.9換購高露潔精選產品！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期至2021年3月31日。
**醫藥產品換購優惠！**
【換購優惠！】凡購買精選產品，即可以$7.9/22.9/37.9換購 醫藥產品  
換購貨品數量有限，換完即止。  
優惠期由即日至2021年4月1日。
**C&S黃色三層軟抽纸巾換購優惠！**
凡購買指定產品，即可以$20.5換購黃色三層軟抽纸巾！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期由2021年3月4日至2021年3月11日。",
2021-03-07,true,81.90,80.10,80.10,"**滴潔超濃縮洗潔精換購優惠！**
凡購買指定產品，即可以$14.9換購高露潔精選產品！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期至2021年3月31日。
**醫藥產品換購優惠！**
【換購優惠！】凡購買精選產品，即可以$7.9/22.9/37.9換購 醫藥產品  
換購貨品數量有限，換完即止。  
優惠期由即日至2021年4月1日。
**C&S黃色三層軟抽纸巾換購優惠！**
凡購買指定產品，即可以$20.5換購黃色三層軟抽纸巾！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期由2021年3月4日至2021年3月11日。",
2021-03-08,true,81.90,80.10,80.10,"**滴潔超濃縮洗潔精換購優惠！**
凡購買指定產品，即可以$14.9換購高露潔精選產品！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期至2021年3月31日。
**醫藥產品換購優惠！**
【換購優惠！】凡購買精選產品，即可以$7.9/22.9/37.9換購 醫藥產品  
換購貨品數量有限，換完即止。  
優惠期由即日至2021年4月1日。
**C&S黃色三層軟抽纸巾換購優惠！**
凡購買指定產品，即可以$20.5換購黃色三層軟抽纸巾！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期由2021年3月4日至2021年3月11日。",
2021-03-09,true,81.90,80.10,80.10,"**滴潔超濃縮洗潔精換購優惠！**
凡購買指定產品，即可以$14.9換購高露潔精選產品！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期至2021年3月31日。
**醫藥產品換購優惠！**
【換購優惠！】凡購買精選產品，即可以$7.9/22.9/37.9換購 醫藥產品  
換購貨品數量有限，換完即止。  
優惠期由即日至2021年4月1日。
**C&S黃色三層軟抽纸巾換購優惠！**
凡購買指定產品，即可以$20.5換購黃色三層軟抽纸巾！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期由2021年3月4日至2021年3月11日。",
2021-03-10,true,81.90,80.10,80.10,"**滴潔超濃縮洗潔精換購優惠！**
凡購買指定產品，即可以$14.9換購高露潔精選產品！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期至2021年3月31日。
**醫藥產品換購優惠！**
【換購優惠！】凡購買精選產品，即可以$7.9/22.9/37.9換購 醫藥產品  
換購貨品數量有限，換完即止。  
優惠期由即日至2021年4月1日。
**C&S黃色三層軟抽纸巾換購優惠！**
凡購買指定產品，即可以$20.5換購黃色三層軟抽纸巾！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期由2021年3月4日至2021年3月11日。",
