Date,Purchasable,Regular Price,Best Price,Unit Price,Promotions,Remarks
2021-02-01,true,19.80,16.90,5.58,"****買2套$33.12  
平均****$16.56****
****買4套$64.22  
平均****$16.05****
****買6套$94.30  
平均****$15.72****
**買指定可口可樂旗下產品滿$200或以上，即送金象牌百搭珍珠米**
買指定可口可樂旗下產品滿$200或以上，即送金象牌百搭珍珠米1kg。每次交易最多送一包，贈品數量有限，最終以結賬頁面(購物車)顯示為準，送完即止。
**買指定加系汽水滿$100或以上，即送可口可樂 多用途旅行袋**
買指定加系汽水滿$100或以上，即送可口可樂多用途旅行袋。每次交易最多送一個，贈品數量有限，最終以結賬頁面(購物車)顯示為準，送完即止。
**【新春牛mall王】2月1日限定!**
結賬時輸入 ""5NEWYR21"" 精選產品享額外95折 ！ 只限2月1日！現附上「電子版．新春牛mall王購物攻略」，即睇更多激筍優惠！",
2021-02-02,true,19.80,16.90,5.58,"****買2套$33.12  
平均****$16.56****
****買4套$64.22  
平均****$16.05****
****買6套$94.30  
平均****$15.72****
**買指定可口可樂旗下產品滿$200或以上，即送金象牌百搭珍珠米**
買指定可口可樂旗下產品滿$200或以上，即送金象牌百搭珍珠米1kg。每次交易最多送一包，贈品數量有限，最終以結賬頁面(購物車)顯示為準，送完即止。
**買指定加系汽水滿$100或以上，即送可口可樂 多用途旅行袋**
買指定加系汽水滿$100或以上，即送可口可樂多用途旅行袋。每次交易最多送一個，贈品數量有限，最終以結賬頁面(購物車)顯示為準，送完即止。",
2021-02-03,true,19.80,16.90,5.58,"****買2套$33.12  
平均****$16.56****
****買4套$64.22  
平均****$16.05****
****買6套$94.30  
平均****$15.72****
**買指定可口可樂旗下產品滿$200或以上，即送金象牌百搭珍珠米**
買指定可口可樂旗下產品滿$200或以上，即送金象牌百搭珍珠米1kg。每次交易最多送一包，贈品數量有限，最終以結賬頁面(購物車)顯示為準，送完即止。
**買指定加系汽水滿$100或以上，即送可口可樂 多用途旅行袋**
買指定加系汽水滿$100或以上，即送可口可樂多用途旅行袋。每次交易最多送一個，贈品數量有限，最終以結賬頁面(購物車)顯示為準，送完即止。",
2021-02-04,true,19.80,16.90,5.58,"****買2套$33.12  
平均****$16.56****
****買4套$64.22  
平均****$16.05****
****買6套$94.30  
平均****$15.72****
**買指定可口可樂旗下產品滿$200或以上，即送金象牌百搭珍珠米**
買指定可口可樂旗下產品滿$200或以上，即送金象牌百搭珍珠米1kg。每次交易最多送一包，贈品數量有限，最終以結賬頁面(購物車)顯示為準，送完即止。
**買指定加系汽水滿$100或以上，即送可口可樂 多用途旅行袋**
買指定加系汽水滿$100或以上，即送可口可樂多用途旅行袋。每次交易最多送一個，贈品數量有限，最終以結賬頁面(購物車)顯示為準，送完即止。",
2021-02-05,true,19.80,16.90,5.58,"****買2套$33.12  
平均****$16.56****
****買4套$64.22  
平均****$16.05****
****買6套$94.30  
平均****$15.72****
**買指定加系汽水滿$100或以上，即送可口可樂 多用途旅行袋**
買指定加系汽水滿$100或以上，即送可口可樂多用途旅行袋。每次交易最多送一個，贈品數量有限，最終以結賬頁面(購物車)顯示為準，送完即止。",
2021-02-06,true,19.80,16.90,5.58,"****買2套$33.12  
平均****$16.56****
****買4套$64.22  
平均****$16.05****
****買6套$94.30  
平均****$15.72****
**買指定加系汽水，即送可口可樂 多用途旅行袋**
買指定加系汽水，即送可口可樂多用途旅行袋。每次交易最多送一個，贈品數量有限，最終以結賬頁面(購物車)顯示為準，送完即止。",
2021-02-07,true,19.80,16.90,5.58,"****買2套$33.12  
平均****$16.56****
****買4套$64.22  
平均****$16.05****
****買6套$94.30  
平均****$15.72****
**買指定加系汽水，即送可口可樂 多用途旅行袋**
買指定加系汽水，即送可口可樂多用途旅行袋。每次交易最多送一個，贈品數量有限，最終以結賬頁面(購物車)顯示為準，送完即止。",
2021-02-08,true,19.80,16.90,5.58,"****買2套$33.12  
平均****$16.56****
****買4套$64.22  
平均****$16.05****
****買6套$94.30  
平均****$15.72****
**買指定加系汽水，即送可口可樂 多用途旅行袋**
買指定加系汽水，即送可口可樂多用途旅行袋。每次交易最多送一個，贈品數量有限，最終以結賬頁面(購物車)顯示為準，送完即止。",
2021-02-09,true,19.80,16.90,5.58,"****買2套$33.12  
平均****$16.56****
****買4套$64.22  
平均****$16.05****
****買6套$94.30  
平均****$15.72****
**買滿$130 送健力氏Tsum Tsum新年盒裝紙(5盒裝)1件**
於可口可樂官方旗艦店買滿指定產品$130+ 送健力氏Tsum Tsum新年盒裝紙(5盒裝)1件。每次交易最多送一件，贈品數量有限，最終以結賬頁面(購物車)顯示為準，送完即止。
**買指定加系汽水，即送可口可樂 多用途旅行袋**
買指定加系汽水，即送可口可樂多用途旅行袋。每次交易最多送一個，贈品數量有限，最終以結賬頁面(購物車)顯示為準，送完即止。",
2021-02-10,true,19.80,16.90,5.58,"****買2套$33.12  
平均****$16.56****
****買4套$64.22  
平均****$16.05****
****買6套$94.30  
平均****$15.72****
**買滿$130 送健力氏Tsum Tsum新年盒裝紙(5盒裝)1件**
於可口可樂官方旗艦店買滿指定產品$130+ 送健力氏Tsum Tsum新年盒裝紙(5盒裝)1件。每次交易最多送一件，贈品數量有限，最終以結賬頁面(購物車)顯示為準，送完即止。
**買指定加系汽水，即送可口可樂 多用途旅行袋**
買指定加系汽水，即送可口可樂多用途旅行袋。每次交易最多送一個，贈品數量有限，最終以結賬頁面(購物車)顯示為準，送完即止。",
2021-02-11,true,19.80,16.90,5.58,"****買2套$33.12  
平均****$16.56****
****買4套$64.22  
平均****$16.05****
****買6套$94.30  
平均****$15.72****
**買滿$130 送健力氏Tsum Tsum新年盒裝紙(5盒裝)1件**
於可口可樂官方旗艦店買滿指定產品$130+ 送健力氏Tsum Tsum新年盒裝紙(5盒裝)1件。每次交易最多送一件，贈品數量有限，最終以結賬頁面(購物車)顯示為準，送完即止。
**買指定加系汽水，即送可口可樂 多用途旅行袋**
買指定加系汽水，即送可口可樂多用途旅行袋。每次交易最多送一個，贈品數量有限，最終以結賬頁面(購物車)顯示為準，送完即止。",
2021-02-12,true,19.80,16.90,5.58,"****買2套$33.12  
平均****$16.56****
****買4套$64.22  
平均****$16.05****
****買6套$94.30  
平均****$15.72****
**買滿$130 送健力氏Tsum Tsum新年盒裝紙(5盒裝)1件**
於可口可樂官方旗艦店買滿指定產品$130+ 送健力氏Tsum Tsum新年盒裝紙(5盒裝)1件。每次交易最多送一件，贈品數量有限，最終以結賬頁面(購物車)顯示為準，送完即止。
**買指定加系汽水，即送可口可樂 多用途旅行袋**
買指定加系汽水，即送可口可樂多用途旅行袋。每次交易最多送一個，贈品數量有限，最終以結賬頁面(購物車)顯示為準，送完即止。",
2021-02-13,true,19.80,16.90,5.58,"****買2套$33.12  
平均****$16.56****
****買4套$64.22  
平均****$16.05****
****買6套$94.30  
平均****$15.72****
**買滿$130 送健力氏Tsum Tsum新年盒裝紙(5盒裝)1件**
於可口可樂官方旗艦店買滿指定產品$130+ 送健力氏Tsum Tsum新年盒裝紙(5盒裝)1件。每次交易最多送一件，贈品數量有限，最終以結賬頁面(購物車)顯示為準，送完即止。
**買指定加系汽水，即送可口可樂 多用途旅行袋**
買指定加系汽水，即送可口可樂多用途旅行袋。每次交易最多送一個，贈品數量有限，最終以結賬頁面(購物車)顯示為準，送完即止。",
2021-02-14,true,19.80,16.90,5.58,"****買2套$33.12  
平均****$16.56****
****買4套$64.22  
平均****$16.05****
****買6套$94.30  
平均****$15.72****
**買滿$130 送健力氏Tsum Tsum新年盒裝紙(5盒裝)1件**
於可口可樂官方旗艦店買滿指定產品$130+ 送健力氏Tsum Tsum新年盒裝紙(5盒裝)1件。每次交易最多送一件，贈品數量有限，最終以結賬頁面(購物車)顯示為準，送完即止。
**買指定加系汽水，即送可口可樂 多用途旅行袋**
買指定加系汽水，即送可口可樂多用途旅行袋。每次交易最多送一個，贈品數量有限，最終以結賬頁面(購物車)顯示為準，送完即止。",
2021-02-15,true,19.80,16.90,5.58,"****買2套$33.12  
平均****$16.56****
****買4套$64.22  
平均****$16.05****
****買6套$94.30  
平均****$15.72****",
2021-02-16,true,19.80,16.90,5.58,"****買2套$33.12  
平均****$16.56****
****買4套$64.22  
平均****$16.05****
****買6套$94.30  
平均****$15.72****",
2021-02-17,true,19.80,16.90,5.58,"****買2套$33.12  
平均****$16.56****
****買4套$64.22  
平均****$16.05****
****買6套$94.30  
平均****$15.72****
**【網上食品展 X BB展 X 寵物展】額外95折優惠!**
結賬時輸入DV7fair5即享額外95折 ！ 優惠只適用於2月17日！現附上「電子版．三大展覽購物攻略」，即睇更多激筍優惠！",
2021-02-18,true,19.80,16.90,5.58,"****買2套$33.12  
平均****$16.56****
****買4套$64.22  
平均****$16.05****
****買6套$94.30  
平均****$15.72****
**Party combo**
Party set: 買任何可口可樂旗下產品，即可以$80 / $100 換12樽/ 24罐啤酒  
每單交易可享此優惠1次。  
換購貨品數量有限，換完即止。",
2021-02-19,true,19.80,16.90,5.58,"****買2套$33.12  
平均****$16.56****
****買4套$64.22  
平均****$16.05****
****買6套$94.30  
平均****$15.72****
**Party combo**
Party set: 買任何可口可樂旗下產品，即可以$80 / $100 換12樽/ 24罐啤酒  
每單交易可享此優惠1次。  
換購貨品數量有限，換完即止。",
2021-02-20,true,19.80,16.90,5.58,"****買2套$33.12  
平均****$16.56****
****買4套$64.22  
平均****$16.05****
****買6套$94.30  
平均****$15.72****
**Party combo**
Party set: 買任何可口可樂旗下產品，即可以$80 / $100 換12樽/ 24罐啤酒  
每單交易可享此優惠1次。  
換購貨品數量有限，換完即止。",
2021-02-21,true,19.80,16.90,5.58,"****買2套$33.12  
平均****$16.56****
****買4套$64.22  
平均****$16.05****
****買6套$94.30  
平均****$15.72****
**Party combo**
Party set: 買任何可口可樂旗下產品，即可以$80 / $100 換12樽/ 24罐啤酒  
每單交易可享此優惠1次。  
換購貨品數量有限，換完即止。",
2021-02-22,true,19.80,16.90,5.58,"****買2套$33.12  
平均****$16.56****
****買4套$64.22  
平均****$16.05****
****買6套$94.30  
平均****$15.72****
**Party combo**
Party set: 買任何可口可樂旗下產品，即可以$80 / $100 換12樽/ 24罐啤酒  
每單交易可享此優惠1次。  
換購貨品數量有限，換完即止。",
2021-02-23,true,19.80,16.90,5.58,"****買2套$33.12  
平均****$16.56****
****買4套$64.22  
平均****$16.05****
****買6套$94.30  
平均****$15.72****
**Party combo**
Party set: 買任何可口可樂旗下產品，即可以$80 / $100 換12樽/ 24罐啤酒  
每單交易可享此優惠1次。  
換購貨品數量有限，換完即止。",
2021-02-24,true,19.80,16.90,5.58,"****買2套$33.12  
平均****$16.56****
****買4套$64.22  
平均****$16.05****
****買6套$94.30  
平均****$15.72****
**買指定加系汽水，即送可口可樂 多用途旅行袋**
買指定加系汽水，即送可口可樂多用途旅行袋。每次交易最多送一個，贈品數量有限，最終以結賬頁面(購物車)顯示為準，送完即止。",
