Date,Purchasable,Regular Price,Best Price,Unit Price,Promotions,Remarks
2021-03-01,true,164.40,85.90,3.58,"****買2件$168.36  
平均****$84.18****
****買4件$326.42  
平均****$81.61****
****買6件$479.32  
平均****$79.89****
**買指定加系汽水，即送可口可樂 多用途旅行袋**
買指定加系汽水，即送可口可樂多用途旅行袋。每次交易最多送一個，贈品數量有限，最終以結賬頁面(購物車)顯示為準，送完即止。",
2021-03-02,true,164.40,85.90,3.58,"****買2件$168.36  
平均****$84.18****
****買4件$326.42  
平均****$81.61****
****買6件$479.32  
平均****$79.89****
**買指定加系汽水，即送可口可樂 多用途旅行袋**
買指定加系汽水，即送可口可樂多用途旅行袋。每次交易最多送一個，贈品數量有限，最終以結賬頁面(購物車)顯示為準，送完即止。",
2021-03-03,true,164.40,85.90,3.58,"****買2件$168.36  
平均****$84.18****
****買4件$326.42  
平均****$81.61****
****買6件$479.32  
平均****$79.89****",
2021-03-04,true,164.40,85.90,3.58,"****買2件$168.36  
平均****$84.18****
****買4件$326.42  
平均****$81.61****
****買6件$479.32  
平均****$79.89****",
2021-03-05,true,164.40,85.90,3.58,"****買2件$168.36  
平均****$84.18****
****買4件$326.42  
平均****$81.61****
****買6件$479.32  
平均****$79.89****",
2021-03-06,true,164.40,85.90,3.58,"****買2件$168.36  
平均****$84.18****
****買4件$326.42  
平均****$81.61****
****買6件$479.32  
平均****$79.89****",
2021-03-07,true,164.40,85.90,3.58,"****買2件$168.36  
平均****$84.18****
****買4件$326.42  
平均****$81.61****
****買6件$479.32  
平均****$79.89****",
2021-03-08,true,164.40,85.90,3.58,"****買2件$168.36  
平均****$84.18****
****買4件$326.42  
平均****$81.61****
****買6件$479.32  
平均****$79.89****",
2021-03-09,true,164.40,85.90,3.58,"****買2件$168.36  
平均****$84.18****
****買4件$326.42  
平均****$81.61****
****買6件$479.32  
平均****$79.89****
**飲品換購優惠 - $28**
任何消費可以以$28換購Hardys 红酒  
換購貨品數量有限，換完即止。",
2021-03-10,true,164.40,85.90,3.58,"****買2件$168.36  
平均****$84.18****
****買4件$326.42  
平均****$81.61****
****買6件$479.32  
平均****$79.89****
**飲品換購優惠 - $28**
任何消費可以以$28換購Hardys 红酒  
換購貨品數量有限，換完即止。",
2021-03-11,true,164.40,85.90,3.58,"****買2件$168.36  
平均****$84.18****
****買4件$326.42  
平均****$81.61****
****買6件$479.32  
平均****$79.89****
**飲品換購優惠 - $28**
任何消費可以以$28換購Hardys 红酒  
換購貨品數量有限，換完即止。",
2021-03-12,true,164.40,85.90,3.58,"****買2件$168.36  
平均****$84.18****
****買4件$326.42  
平均****$81.61****
****買6件$479.32  
平均****$79.89****
**買滿$130 送絲潔 - 廚房萬用紙2卷裝**
買滿$130 送絲潔 - 廚房萬用紙2卷裝。每次交易最多送一件，贈品數量有限，最終以結賬頁面(購物車)顯示為準，送完即止。",
2021-03-13,true,164.40,85.90,3.58,"****買2件$168.36  
平均****$84.18****
****買4件$326.42  
平均****$81.61****
****買6件$479.32  
平均****$79.89****
**飲品換購優惠 - $28**
任何消費可以以$28換購Hardys - VR 红酒  
換購貨品數量有限，換完即止。
**買滿$130 送絲潔 - 廚房萬用紙2卷裝**
買滿$130 送絲潔 - 廚房萬用紙2卷裝。每次交易最多送一件，贈品數量有限，最終以結賬頁面(購物車)顯示為準，送完即止。",
2021-03-14,true,164.40,85.90,3.58,"****買2件$168.36  
平均****$84.18****
****買4件$326.42  
平均****$81.61****
****買6件$479.32  
平均****$79.89****
**飲品換購優惠 - $28**
任何消費可以以$28換購Hardys - VR 红酒  
換購貨品數量有限，換完即止。
**買滿$130 送絲潔 - 廚房萬用紙2卷裝**
買滿$130 送絲潔 - 廚房萬用紙2卷裝。每次交易最多送一件，贈品數量有限，最終以結賬頁面(購物車)顯示為準，送完即止。",
2021-03-15,true,164.40,85.90,3.58,"****買2件$168.36  
平均****$84.18****
****買4件$326.42  
平均****$81.61****
****買6件$479.32  
平均****$79.89****
**飲品換購優惠 - $28**
任何消費可以以$28換購Hardys - VR 红酒  
換購貨品數量有限，換完即止。
**買滿$130 送絲潔 - 廚房萬用紙2卷裝**
買滿$130 送絲潔 - 廚房萬用紙2卷裝。每次交易最多送一件，贈品數量有限，最終以結賬頁面(購物車)顯示為準，送完即止。",
2021-03-16,true,164.40,85.90,3.58,"****買2件$168.36  
平均****$84.18****
****買4件$326.42  
平均****$81.61****
****買6件$479.32  
平均****$79.89****
**飲品換購優惠 - $28**
任何消費可以以$28換購Hardys - VR 红酒  
換購貨品數量有限，換完即止。",
2021-03-17,true,164.40,85.90,3.58,"****買2件$168.36  
平均****$84.18****
****買4件$326.42  
平均****$81.61****
****買6件$479.32  
平均****$79.89****
**飲品換購優惠 - $28**
任何消費可以以$28換購Hardys - VR 红酒  
換購貨品數量有限，換完即止。",
2021-03-18,true,164.40,85.90,3.58,"****買2件$168.36  
平均****$84.18****
****買4件$326.42  
平均****$81.61****
****買6件$479.32  
平均****$79.89****
**飲品換購優惠 - $28**
任何消費可以以$28換購Hardys - VR 红酒  
換購貨品數量有限，換完即止。",
2021-03-19,true,164.40,85.90,3.58,"****買2件$168.36  
平均****$84.18****
****買4件$326.42  
平均****$81.61****
****買6件$479.32  
平均****$79.89****",
2021-03-20,true,164.40,85.90,3.58,"****買2件$168.36  
平均****$84.18****
****買4件$326.42  
平均****$81.61****
****買6件$479.32  
平均****$79.89****
**任何購買, 即可以$38換購星巴克Nespresso咖啡膠囊**
任何購買, 即可以$38換購星巴克Nespresso咖啡膠囊 (原價$45)  
換購貨品數量有限，換完即止。",
2021-03-21,true,164.40,85.90,3.58,"****買2件$168.36  
平均****$84.18****
****買4件$326.42  
平均****$81.61****
****買6件$479.32  
平均****$79.89****
**任何購買, 即可以$38換購星巴克Nespresso咖啡膠囊**
任何購買, 即可以$38換購星巴克Nespresso咖啡膠囊 (原價$45)  
換購貨品數量有限，換完即止。",
