Date,Purchasable,Regular Price,Best Price,Unit Price,Promotions,Remarks
2021-02-01,true,177.00,165.00,4.54,"**購買指定可口可樂公司飲品滿$400 送可口可樂330毫升 8罐裝**
於 Friends Store 購買指定可口可樂公司飲品滿$400 送 330毫升 可口可樂 8罐裝。  
每張訂單只限享用以上優惠: 1次。  
優惠期至2月28日。  
數量有限，送完即止。
**【新春牛mall王】2月1日限定!**
結賬時輸入 ""5NEWYR21"" 精選產品享額外95折 ！ 只限2月1日！現附上「電子版．新春牛mall王購物攻略」，即睇更多激筍優惠！
**$12玉泉青檸味有氣水換購優惠**
\[Friends Store x Coca Cola\] 購買指定可口可樂公司產品滿$400，即可以$12換購玉泉青檸味有氣水410ml x2支。  
數量有限，售完即止。  
最終之專享價將顯示於結賬頁面。  
優惠期至2月28日。",
2021-02-02,true,177.00,165.00,4.54,"**購買指定可口可樂公司飲品滿$400 送可口可樂 x 6罐**
於 Friends Store 購買指定可口可樂公司飲品滿$400 送可口可樂 x 6罐。  
每張訂單只限享用以上優惠: 1次。  
優惠期至2月28日。  
數量有限，送完即止。
**$12玉泉青檸味有氣水換購優惠**
\[Friends Store x Coca Cola\] 購買指定可口可樂公司產品滿$400，即可以$12換購玉泉青檸味有氣水410ml x2支。  
數量有限，售完即止。  
最終之專享價將顯示於結賬頁面。  
優惠期至2月28日。",
2021-02-03,true,177.00,165.00,4.54,"**購買指定可口可樂公司飲品滿$400 送可口可樂 x 6罐**
於 Friends Store 購買指定可口可樂公司飲品滿$400 送可口可樂 x 6罐。  
每張訂單只限享用以上優惠: 1次。  
優惠期至2月28日。  
數量有限，送完即止。
**$12玉泉青檸味有氣水換購優惠**
\[Friends Store x Coca Cola\] 購買指定可口可樂公司產品滿$400，即可以$12換購玉泉青檸味有氣水410ml x2支。  
數量有限，售完即止。  
最終之專享價將顯示於結賬頁面。  
優惠期至2月28日。",
2021-02-04,true,177.00,165.00,4.54,"**購買指定可口可樂公司飲品滿$400 送可口可樂 x 6罐**
於 Friends Store 購買指定可口可樂公司飲品滿$400 送可口可樂 x 6罐。  
每張訂單只限享用以上優惠: 1次。  
優惠期至2月28日。  
數量有限，送完即止。
**$12玉泉青檸味有氣水換購優惠**
\[Friends Store x Coca Cola\] 購買指定可口可樂公司產品滿$400，即可以$12換購玉泉青檸味有氣水410ml x2支。  
數量有限，售完即止。  
最終之專享價將顯示於結賬頁面。  
優惠期至2月28日。",
2021-02-05,true,177.00,165.00,4.54,"**購買指定可口可樂公司飲品滿$400 送可口可樂 x 6罐**
於 Friends Store 購買指定可口可樂公司飲品滿$400 送可口可樂 x 6罐。  
每張訂單只限享用以上優惠: 1次。  
優惠期至2月28日。  
數量有限，送完即止。
**$12玉泉青檸味有氣水換購優惠**
\[Friends Store x Coca Cola\] 購買指定可口可樂公司產品滿$400，即可以$12換購玉泉青檸味有氣水410ml x2支。  
數量有限，售完即止。  
最終之專享價將顯示於結賬頁面。  
優惠期至2月28日。",
2021-02-06,true,177.00,165.00,4.54,"**購買指定可口可樂公司飲品滿$400 送可口可樂 x 6罐**
於 Friends Store 購買指定可口可樂公司飲品滿$400 送可口可樂 x 6罐。  
每張訂單只限享用以上優惠: 1次。  
優惠期至2月28日。  
數量有限，送完即止。
**$12玉泉青檸味有氣水換購優惠**
\[Friends Store x Coca Cola\] 購買指定可口可樂公司產品滿$400，即可以$12換購玉泉青檸味有氣水410ml x2支。  
數量有限，售完即止。  
最終之專享價將顯示於結賬頁面。  
優惠期至2月28日。",
2021-02-07,true,177.00,165.00,4.54,"**購買指定可口可樂公司飲品滿$400 送可口可樂 x 6罐**
於 Friends Store 購買指定可口可樂公司飲品滿$400 送可口可樂 x 6罐。  
每張訂單只限享用以上優惠: 1次。  
優惠期至2月28日。  
數量有限，送完即止。
**$12玉泉青檸味有氣水換購優惠**
\[Friends Store x Coca Cola\] 購買指定可口可樂公司產品滿$400，即可以$12換購玉泉青檸味有氣水410ml x2支。  
數量有限，售完即止。  
最終之專享價將顯示於結賬頁面。  
優惠期至2月28日。",
2021-02-08,false,177.00,165.00,4.54,"**購買指定可口可樂公司飲品滿$400 送可口可樂 x 6罐**
於 Friends Store 購買指定可口可樂公司飲品滿$400 送可口可樂 x 6罐。  
每張訂單只限享用以上優惠: 1次。  
優惠期至2月28日。  
數量有限，送完即止。
**$12玉泉青檸味有氣水換購優惠**
\[Friends Store x Coca Cola\] 購買指定可口可樂公司產品滿$400，即可以$12換購玉泉青檸味有氣水410ml x2支。  
數量有限，售完即止。  
最終之專享價將顯示於結賬頁面。  
優惠期至2月28日。",
2021-02-09,true,177.00,165.00,4.54,"**購買指定可口可樂公司飲品滿$400 送可口可樂 x 6罐**
於 Friends Store 購買指定可口可樂公司飲品滿$400 送可口可樂 x 6罐。  
每張訂單只限享用以上優惠: 1次。  
優惠期至2月28日。  
數量有限，送完即止。
**$12玉泉青檸味有氣水換購優惠**
\[Friends Store x Coca Cola\] 購買指定可口可樂公司產品滿$400，即可以$12換購玉泉青檸味有氣水410ml x2支。  
數量有限，售完即止。  
最終之專享價將顯示於結賬頁面。  
優惠期至2月28日。",
2021-02-10,true,177.00,165.00,4.54,"**購買指定可口可樂公司飲品滿$400 送可口可樂 x 6罐**
於 Friends Store 購買指定可口可樂公司飲品滿$400 送可口可樂 x 6罐。  
每張訂單只限享用以上優惠: 1次。  
優惠期至2月28日。  
數量有限，送完即止。
**$12玉泉青檸味有氣水換購優惠**
\[Friends Store x Coca Cola\] 購買指定可口可樂公司產品滿$400，即可以$12換購玉泉青檸味有氣水410ml x2支。  
數量有限，售完即止。  
最終之專享價將顯示於結賬頁面。  
優惠期至2月28日。",
2021-02-11,true,177.00,165.00,4.54,"**購買指定可口可樂公司飲品滿$400 送可口可樂 x 6罐**
於 Friends Store 購買指定可口可樂公司飲品滿$400 送可口可樂 x 6罐。  
每張訂單只限享用以上優惠: 1次。  
優惠期至2月28日。  
數量有限，送完即止。
**$12玉泉青檸味有氣水換購優惠**
\[Friends Store x Coca Cola\] 購買指定可口可樂公司產品滿$400，即可以$12換購玉泉青檸味有氣水410ml x2支。  
數量有限，售完即止。  
最終之專享價將顯示於結賬頁面。  
優惠期至2月28日。",
2021-02-12,true,177.00,165.00,4.54,"**購買指定可口可樂公司飲品滿$400 送可口可樂 x 6罐**
於 Friends Store 購買指定可口可樂公司飲品滿$400 送可口可樂 x 6罐。  
每張訂單只限享用以上優惠: 1次。  
優惠期至2月28日。  
數量有限，送完即止。
**$12玉泉青檸味有氣水換購優惠**
\[Friends Store x Coca Cola\] 購買指定可口可樂公司產品滿$400，即可以$12換購玉泉青檸味有氣水410ml x2支。  
數量有限，售完即止。  
最終之專享價將顯示於結賬頁面。  
優惠期至2月28日。",
