Date,Purchasable,Regular Price,Best Price,Unit Price,Promotions,Remarks
2021-03-01,false,48.00,37.00,4.63,"**購買指定可口可樂公司飲品滿$400 送可口可樂 x 6罐**
於 Friends Store 購買指定可口可樂公司飲品滿$400 送可口可樂 x 6罐。  
每張訂單只限享用以上優惠: 1次。  
優惠期至3月31日。  
數量有限，送完即止。",
2021-03-02,true,48.00,37.00,4.63,"**購買指定可口可樂公司飲品滿$400 送可口可樂 x 6罐**
於 Friends Store 購買指定可口可樂公司飲品滿$400 送可口可樂 x 6罐。  
每張訂單只限享用以上優惠: 1次。  
優惠期至3月31日。  
數量有限，送完即止。",
2021-03-03,true,48.00,37.00,4.63,"**購買指定可口可樂公司飲品滿$400 送可口可樂 x 6罐**
於 Friends Store 購買指定可口可樂公司飲品滿$400 送可口可樂 x 6罐。  
每張訂單只限享用以上優惠: 1次。  
優惠期至3月31日。  
數量有限，送完即止。",
2021-03-04,true,48.00,37.00,4.63,"**購買指定可口可樂公司飲品滿$400 送可口可樂 x 6罐**
於 Friends Store 購買指定可口可樂公司飲品滿$400 送可口可樂 x 6罐。  
每張訂單只限享用以上優惠: 1次。  
優惠期至3月31日。  
數量有限，送完即止。",
2021-03-05,true,48.00,37.00,4.63,"**購買指定可口可樂公司飲品滿$400 送可口可樂 x 6罐**
於 Friends Store 購買指定可口可樂公司飲品滿$400 送可口可樂 x 6罐。  
每張訂單只限享用以上優惠: 1次。  
優惠期至3月31日。  
數量有限，送完即止。",
2021-03-06,true,48.00,37.00,4.63,"**購買指定可口可樂公司飲品滿$400 送可口可樂 x 6罐**
於 Friends Store 購買指定可口可樂公司飲品滿$400 送可口可樂 x 6罐。  
每張訂單只限享用以上優惠: 1次。  
優惠期至3月31日。  
數量有限，送完即止。",
2021-03-07,true,48.00,37.00,4.63,"**購買指定可口可樂公司飲品滿$400 送可口可樂 x 6罐**
於 Friends Store 購買指定可口可樂公司飲品滿$400 送可口可樂 x 6罐。  
每張訂單只限享用以上優惠: 1次。  
優惠期至3月31日。  
數量有限，送完即止。",
2021-03-08,true,48.00,37.00,4.63,"**購買指定可口可樂公司飲品滿$400 送可口可樂 x 6罐**
於 Friends Store 購買指定可口可樂公司飲品滿$400 送可口可樂 x 6罐。  
每張訂單只限享用以上優惠: 1次。  
優惠期至3月31日。  
數量有限，送完即止。",
2021-03-09,true,48.00,37.00,4.63,"**購買指定可口可樂公司飲品滿$400 送可口可樂 x 6罐**
於 Friends Store 購買指定可口可樂公司飲品滿$400 送可口可樂 x 6罐。  
每張訂單只限享用以上優惠: 1次。  
優惠期至3月31日。  
數量有限，送完即止。",
2021-03-10,true,48.00,37.00,4.63,"**購買指定可口可樂公司飲品滿$400 送可口可樂 x 6罐**
於 Friends Store 購買指定可口可樂公司飲品滿$400 送可口可樂 x 6罐。  
每張訂單只限享用以上優惠: 1次。  
優惠期至3月31日。  
數量有限，送完即止。",
2021-03-11,true,48.00,37.00,4.63,"**購買指定可口可樂公司飲品滿$400 送可口可樂 x 6罐**
於 Friends Store 購買指定可口可樂公司飲品滿$400 送可口可樂 x 6罐。  
每張訂單只限享用以上優惠: 1次。  
優惠期至3月31日。  
數量有限，送完即止。",
2021-03-12,true,48.00,37.00,4.63,"**購買指定可口可樂公司飲品滿$400 送可口可樂 x 6罐**
於 Friends Store 購買指定可口可樂公司飲品滿$400 送可口可樂 x 6罐。  
每張訂單只限享用以上優惠: 1次。  
優惠期至3月31日。  
數量有限，送完即止。",
2021-03-13,false,48.00,37.00,4.63,"**購買指定可口可樂公司飲品滿$400 送可口可樂 x 6罐**
於 Friends Store 購買指定可口可樂公司飲品滿$400 送可口可樂 x 6罐。  
每張訂單只限享用以上優惠: 1次。  
優惠期至3月31日。  
數量有限，送完即止。",
2021-03-14,false,48.00,37.00,4.63,"**購買指定可口可樂公司飲品滿$400 送可口可樂 x 6罐**
於 Friends Store 購買指定可口可樂公司飲品滿$400 送可口可樂 x 6罐。  
每張訂單只限享用以上優惠: 1次。  
優惠期至3月31日。  
數量有限，送完即止。",
2021-03-15,false,48.00,37.00,4.63,"**購買指定可口可樂公司飲品滿$400 送可口可樂 x 6罐**
於 Friends Store 購買指定可口可樂公司飲品滿$400 送可口可樂 x 6罐。  
每張訂單只限享用以上優惠: 1次。  
優惠期至3月31日。  
數量有限，送完即止。",
2021-03-16,true,48.00,37.00,4.63,"**購買指定可口可樂公司飲品滿$400 送可口可樂 x 6罐**
於 Friends Store 購買指定可口可樂公司飲品滿$400 送可口可樂 x 6罐。  
每張訂單只限享用以上優惠: 1次。  
優惠期至3月31日。  
數量有限，送完即止。",
2021-03-17,true,48.00,37.00,4.63,"**購買指定可口可樂公司飲品滿$400 送可口可樂 x 6罐**
於 Friends Store 購買指定可口可樂公司飲品滿$400 送可口可樂 x 6罐。  
每張訂單只限享用以上優惠: 1次。  
優惠期至3月31日。  
數量有限，送完即止。",
2021-03-18,true,48.00,37.00,4.63,"**購買指定可口可樂公司飲品滿$400 送可口可樂 x 6罐**
於 Friends Store 購買指定可口可樂公司飲品滿$400 送可口可樂 x 6罐。  
每張訂單只限享用以上優惠: 1次。  
優惠期至3月31日。  
數量有限，送完即止。",
