Date,Purchasable,Regular Price,Best Price,Unit Price,Promotions,Remarks
2021-04-01,true,66.00,60.00,6.60,"**限定換購優惠！**
凡購買任何指定產品，即可以$35 / $45 換購精選產品！  
每次交易最多可換購產品8件  
換購貨品數量有限，換完即止。  
優惠將以購物車為準。  
優惠期至2021年4月15日。",
2021-04-02,true,66.00,60.00,6.60,"**限定換購優惠！**
凡購買任何指定產品，即可以$35 / $45 換購精選產品！  
每次交易最多可換購產品8件  
換購貨品數量有限，換完即止。  
優惠將以購物車為準。  
優惠期至2021年4月15日。",
2021-04-03,true,66.00,60.00,6.60,"**限定換購優惠！**
凡購買任何指定產品，即可以$35 / $45 換購精選產品！  
每次交易最多可換購產品8件  
換購貨品數量有限，換完即止。  
優惠將以購物車為準。  
優惠期至2021年4月15日。",
2021-04-04,true,66.00,60.00,6.60,"**限定換購優惠！**
凡購買任何指定產品，即可以$35 / $45 換購精選產品！  
每次交易最多可換購產品8件  
換購貨品數量有限，換完即止。  
優惠將以購物車為準。  
優惠期至2021年4月15日。",
2021-04-05,true,66.00,60.00,6.60,"**限定換購優惠！**
凡購買任何指定產品，即可以$35 / $45 換購精選產品！  
每次交易最多可換購產品8件  
換購貨品數量有限，換完即止。  
優惠將以購物車為準。  
優惠期至2021年4月15日。",
2021-04-07,true,66.00,60.00,6.60,"**限定換購優惠！**
凡購買任何指定產品，即可以$35 / $45 換購精選產品！  
每次交易最多可換購產品8件  
換購貨品數量有限，換完即止。  
優惠將以購物車為準。  
優惠期至2021年4月15日。",
2021-04-13,true,66.00,60.00,6.60,"**限定換購優惠！**
凡購買任何指定產品，即可以$35 / $45 換購精選產品！  
每次交易最多可換購產品8件  
換購貨品數量有限，換完即止。  
優惠將以購物車為準。  
優惠期至2021年4月15日。
**【天然有機抗敏週】$29/$49/$89 換購優惠**
凡購買任何超級市場產品\*，即可以優惠價換購指定天然/有機/抗敏產品！  
換購日期至2021年4月25日，貨品數量有限，換完即止。  
\*每張訂單只限享用以上優惠1次，受條款及細則約束。",
2021-04-14,true,66.00,60.00,6.60,"**限定換購優惠！**
凡購買任何指定產品，即可以$35 / $45 換購精選產品！  
每次交易最多可換購產品8件  
換購貨品數量有限，換完即止。  
優惠將以購物車為準。  
優惠期至2021年4月15日。
**【天然有機抗敏週】$29/$49/$89 換購優惠**
凡購買任何超級市場產品\*，即可以優惠價換購指定天然/有機/抗敏產品！  
換購日期至2021年4月25日，貨品數量有限，換完即止。  
\*每張訂單只限享用以上優惠1次，受條款及細則約束。",
2021-04-15,true,66.00,60.00,6.60,"**限定換購優惠！**
凡購買任何指定產品，即可以$35 / $45 換購精選產品！  
每次交易最多可換購產品8件  
換購貨品數量有限，換完即止。  
優惠將以購物車為準。  
優惠期至2021年4月15日。
**【天然有機抗敏週】$29/$49/$89 換購優惠**
凡購買任何超級市場產品\*，即可以優惠價換購指定天然/有機/抗敏產品！  
換購日期至2021年4月25日，貨品數量有限，換完即止。  
\*每張訂單只限享用以上優惠1次，受條款及細則約束。",
2021-04-18,true,66.00,60.00,6.60,"**【天然有機抗敏週】$29/$49/$89 換購優惠**
凡購買任何超級市場產品\*，即可以優惠價換購指定天然/有機/抗敏產品！  
換購日期至2021年4月25日，貨品數量有限，換完即止。  
\*每張訂單只限享用以上優惠1次，受條款及細則約束。",
2021-04-19,true,66.00,60.00,6.60,"**【天然有機抗敏週】$29/$49/$89 換購優惠**
凡購買任何超級市場產品\*，即可以優惠價換購指定天然/有機/抗敏產品！  
換購日期至2021年4月25日，貨品數量有限，換完即止。  
\*每張訂單只限享用以上優惠1次，受條款及細則約束。",
2021-04-20,true,66.00,60.00,6.60,"**【天然有機抗敏週】$29/$49/$89 換購優惠**
凡購買任何超級市場產品\*，即可以優惠價換購指定天然/有機/抗敏產品！  
換購日期至2021年4月25日，貨品數量有限，換完即止。  
\*每張訂單只限享用以上優惠1次，受條款及細則約束。",
2021-04-21,true,66.00,60.00,6.60,"**【天然有機抗敏週】$29/$49/$89 換購優惠**
凡購買任何超級市場產品\*，即可以優惠價換購指定天然/有機/抗敏產品！  
換購日期至2021年4月25日，貨品數量有限，換完即止。  
\*每張訂單只限享用以上優惠1次，受條款及細則約束。",
2021-04-22,true,66.00,60.00,6.60,"**【天然有機抗敏週】$29/$49/$89 換購優惠**
凡購買任何超級市場產品\*，即可以優惠價換購指定天然/有機/抗敏產品！  
換購日期至2021年4月25日，貨品數量有限，換完即止。  
\*每張訂單只限享用以上優惠1次，受條款及細則約束。",
2021-04-23,true,66.00,60.00,6.60,"**【天然有機抗敏週】$29/$49/$89 換購優惠**
凡購買任何超級市場產品\*，即可以優惠價換購指定天然/有機/抗敏產品！  
換購日期至2021年4月25日，貨品數量有限，換完即止。  
\*每張訂單只限享用以上優惠1次，受條款及細則約束。",
2021-04-24,true,66.00,60.00,6.60,"**【天然有機抗敏週】$29/$49/$89 換購優惠**
凡購買任何超級市場產品\*，即可以優惠價換購指定天然/有機/抗敏產品！  
換購日期至2021年4月25日，貨品數量有限，換完即止。  
\*每張訂單只限享用以上優惠1次，受條款及細則約束。",
2021-04-25,true,66.00,60.00,6.60,"**【天然有機抗敏週】$29/$49/$89 換購優惠**
凡購買任何超級市場產品\*，即可以優惠價換購指定天然/有機/抗敏產品！  
換購日期至2021年4月25日，貨品數量有限，換完即止。  
\*每張訂單只限享用以上優惠1次，受條款及細則約束。",
2021-04-26,true,66.00,60.00,6.60,,
