Date,Purchasable,Regular Price,Best Price,Unit Price,Promotions,Remarks
2021-03-01,false,54.90,46.90,46.90,,
2021-03-02,false,54.90,46.90,46.90,,
2021-03-03,false,54.90,46.90,46.90,"**2件額外95折**
2件額外95折  
  
優惠期由03月03日00:00至03月31日23:59。  
  
現金回贈金額或會因「多買多折」優惠而有所變動。",
2021-03-04,false,54.90,46.90,46.90,"**2件額外95折**
2件額外95折  
  
優惠期由03月03日00:00至03月31日23:59。  
  
現金回贈金額或會因「多買多折」優惠而有所變動。",
2021-03-05,false,54.90,46.90,46.90,"**2件額外95折**
2件額外95折  
  
優惠期由03月03日00:00至03月31日23:59。  
  
現金回贈金額或會因「多買多折」優惠而有所變動。",
2021-03-06,false,54.90,46.90,46.90,"**2件額外95折**
2件額外95折  
  
優惠期由03月03日00:00至03月31日23:59。  
  
現金回贈金額或會因「多買多折」優惠而有所變動。",
2021-03-07,false,54.90,46.90,46.90,"**2件額外95折**
2件額外95折  
  
優惠期由03月03日00:00至03月31日23:59。  
  
現金回贈金額或會因「多買多折」優惠而有所變動。",
2021-03-08,false,54.90,46.90,46.90,"**2件額外95折**
2件額外95折  
  
優惠期由03月03日00:00至03月31日23:59。  
  
現金回贈金額或會因「多買多折」優惠而有所變動。",
2021-03-09,false,54.90,46.90,46.90,"**2件額外95折**
2件額外95折  
  
優惠期由03月03日00:00至03月31日23:59。  
  
現金回贈金額或會因「多買多折」優惠而有所變動。",
2021-03-10,true,54.90,46.90,46.90,"**2件額外95折**
2件額外95折  
  
優惠期由03月03日00:00至03月31日23:59。  
  
現金回贈金額或會因「多買多折」優惠而有所變動。",
2021-03-11,true,54.90,46.90,46.90,"**2件額外95折**
2件額外95折  
  
優惠期由03月03日00:00至03月31日23:59。  
  
現金回贈金額或會因「多買多折」優惠而有所變動。",
2021-03-12,true,54.90,46.90,46.90,"**2件額外95折**
2件額外95折  
  
優惠期由03月03日00:00至03月31日23:59。  
  
現金回贈金額或會因「多買多折」優惠而有所變動。",
2021-03-13,true,54.90,46.90,46.90,"**2件額外95折**
2件額外95折  
  
優惠期由03月03日00:00至03月31日23:59。  
  
現金回贈金額或會因「多買多折」優惠而有所變動。",
2021-03-14,true,54.90,46.90,46.90,"**2件額外95折**
2件額外95折  
  
優惠期由03月03日00:00至03月31日23:59。  
  
現金回贈金額或會因「多買多折」優惠而有所變動。",
2021-03-15,false,54.90,46.90,46.90,"**2件額外95折**
2件額外95折  
  
優惠期由03月03日00:00至03月31日23:59。  
  
現金回贈金額或會因「多買多折」優惠而有所變動。",
2021-03-16,false,54.90,46.90,46.90,"**2件額外95折**
2件額外95折  
  
優惠期由03月03日00:00至03月31日23:59。  
  
現金回贈金額或會因「多買多折」優惠而有所變動。",
2021-03-17,false,54.90,46.90,46.90,"**2件額外95折**
2件額外95折  
  
優惠期由03月03日00:00至03月31日23:59。  
  
現金回贈金額或會因「多買多折」優惠而有所變動。",
2021-03-18,true,54.90,46.90,46.90,"**2件額外95折**
2件額外95折  
  
優惠期由03月03日00:00至03月31日23:59。  
  
現金回贈金額或會因「多買多折」優惠而有所變動。",
2021-03-19,true,54.90,46.90,46.90,"**2件額外95折**
2件額外95折  
  
優惠期由03月03日00:00至03月31日23:59。  
  
現金回贈金額或會因「多買多折」優惠而有所變動。",
