Date,Purchasable,Regular Price,Best Price,Unit Price,Promotions,Remarks
2021-03-01,true,53.90,46.00,46.00,,
2021-03-02,false,53.90,46.00,46.00,,
2021-03-03,false,53.90,46.00,46.00,,
2021-03-04,false,53.90,46.00,46.00,,
2021-03-05,true,53.90,46.00,46.00,,
2021-03-06,true,53.90,46.00,46.00,,
2021-03-07,true,53.90,46.00,46.00,,
2021-03-08,true,53.90,46.00,46.00,,
2021-03-09,true,53.90,46.00,46.00,,
2021-03-10,true,53.90,46.00,46.00,,
2021-03-11,true,53.90,46.00,46.00,,
2021-03-12,true,53.90,46.00,46.00,,
2021-03-13,true,53.90,46.00,46.00,,
2021-03-14,true,53.90,46.00,46.00,,
2021-03-15,true,53.90,46.00,46.00,,
2021-03-16,true,53.90,46.00,46.00,,
2021-03-17,true,53.90,46.00,46.00,,
2021-03-18,true,53.90,46.00,46.00,,
2021-03-19,true,53.90,46.00,46.00,,
2021-03-20,true,53.90,46.00,46.00,,
2021-03-21,true,53.90,46.00,46.00,,
2021-03-22,true,53.90,46.00,46.00,,
2021-03-23,true,53.90,46.00,46.00,,
2021-03-24,true,53.90,46.00,46.00,,
