Date,Purchasable,Regular Price,Best Price,Unit Price,Promotions,Remarks
2021-01-01,true,248.00,219.90,52.36,"**2件$378!**
選購白蘭氏冰糖燕窩窩/無糖燕窩2件，只售$378。  
優惠產品限購最多 3次。數量有限，售完即止。  
最終之專享價將顯示於結賬頁面。
**$40 / $74.9 / $99.9 個人護理換購優惠！**
凡購買指定產品，即可以$40 / $74.9 / $99.9換購精選產品！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期至2021年1月31日。",
2021-01-02,true,248.00,219.90,52.36,"**2件$378!**
選購白蘭氏冰糖燕窩窩/無糖燕窩2件，只售$378。  
優惠產品限購最多 3次。數量有限，售完即止。  
最終之專享價將顯示於結賬頁面。
**$40 / $74.9 / $99.9 個人護理換購優惠！**
凡購買指定產品，即可以$40 / $74.9 / $99.9換購精選產品！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期至2021年1月31日。
**$22.9 / $39.9 / $65.9 高露潔換購優惠！**
凡購買指定產品，即可以$22.9 / $39.9 / $65.9 換購高露潔精選產品！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期至2021年1月31日。",
2021-01-03,true,248.00,219.90,52.36,"**2件$378!**
選購白蘭氏冰糖燕窩窩/無糖燕窩2件，只售$378。  
優惠產品限購最多 3次。數量有限，售完即止。  
最終之專享價將顯示於結賬頁面。
**$40 / $74.9 / $99.9 個人護理換購優惠！**
凡購買指定產品，即可以$40 / $74.9 / $99.9換購精選產品！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期至2021年1月31日。
**$22.9 / $39.9 / $65.9 高露潔換購優惠！**
凡購買指定產品，即可以$22.9 / $39.9 / $65.9 換購高露潔精選產品！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期至2021年1月31日。",
2021-01-04,true,248.00,219.90,52.36,"**$40 / $74.9 / $99.9 個人護理換購優惠！**
凡購買指定產品，即可以$40 / $74.9 / $99.9換購精選產品！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期至2021年1月31日。
**$22.9 / $39.9 / $65.9 高露潔換購優惠！**
凡購買指定產品，即可以$22.9 / $39.9 / $65.9 換購高露潔精選產品！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期至2021年1月31日。",
2021-01-05,true,248.00,199.90,47.60,"**$40 / $74.9 / $99.9 個人護理換購優惠！**
凡購買指定產品，即可以$40 / $74.9 / $99.9換購精選產品！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期至2021年1月31日。
**$22.9 / $39.9 / $65.9 高露潔換購優惠！**
凡購買指定產品，即可以$22.9 / $39.9 / $65.9 換購高露潔精選產品！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期至2021年1月31日。",
2021-01-06,true,248.00,199.90,47.60,"**$40 / $74.9 / $99.9 個人護理換購優惠！**
凡購買指定產品，即可以$40 / $74.9 / $99.9換購精選產品！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期至2021年1月31日。
**$22.9 / $39.9 / $65.9 高露潔換購優惠！**
凡購買指定產品，即可以$22.9 / $39.9 / $65.9 換購高露潔精選產品！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期至2021年1月31日。",
2021-01-07,true,248.00,199.90,47.60,"**$40 / $74.9 / $99.9 個人護理換購優惠！**
凡購買指定產品，即可以$40 / $74.9 / $99.9換購精選產品！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期至2021年1月31日。
**$22.9 / $39.9 / $65.9 高露潔換購優惠！**
凡購買指定產品，即可以$22.9 / $39.9 / $65.9 換購高露潔精選產品！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期至2021年1月31日。",
2021-01-08,true,248.00,199.90,47.60,"**$40 / $74.9 / $99.9 個人護理換購優惠！**
凡購買指定產品，即可以$40 / $74.9 / $99.9換購精選產品！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期至2021年1月31日。
**$22.9 / $39.9 / $65.9 高露潔換購優惠！**
凡購買指定產品，即可以$22.9 / $39.9 / $65.9 換購高露潔精選產品！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期至2021年1月31日。",
2021-01-09,true,248.00,199.90,47.60,"**$40 / $74.9 / $99.9 個人護理換購優惠！**
凡購買指定產品，即可以$40 / $74.9 / $99.9換購精選產品！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期至2021年1月31日。
**$22.9 / $39.9 / $65.9 高露潔換購優惠！**
凡購買指定產品，即可以$22.9 / $39.9 / $65.9 換購高露潔精選產品！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期至2021年1月31日。",
2021-01-10,true,248.00,199.90,47.60,"**$40 / $74.9 / $99.9 個人護理換購優惠！**
凡購買指定產品，即可以$40 / $74.9 / $99.9換購精選產品！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期至2021年1月31日。
**$22.9 / $39.9 / $65.9 高露潔換購優惠！**
凡購買指定產品，即可以$22.9 / $39.9 / $65.9 換購高露潔精選產品！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期至2021年1月31日。",
