Date,Purchasable,Regular Price,Best Price,Unit Price,Promotions,Remarks
2021-03-01,true,143.70,112.50,3.75,"**滿$250即送高露潔清新薄荷牙膏孖裝+卡通碟/杯(款式隨機發送)！**
凡購買金佰利精選產品滿$250即送高露潔 - 清新薄荷牙膏孖裝 + Hello Kitty碟 / 角落生物碟 (款式隨機發送)！  
數量有限，送完即止。  
每張訂單只限享用此優惠1次。  
贈品優惠將以購物車為準。  
優惠期至2021年3月7日。",
2021-03-02,true,143.70,112.50,3.75,"**滿$250即送高露潔清新薄荷牙膏孖裝+卡通碟/杯(款式隨機發送)！**
凡購買金佰利精選產品滿$250即送高露潔 - 清新薄荷牙膏孖裝 + Hello Kitty碟 / 角落生物碟 (款式隨機發送)！  
數量有限，送完即止。  
每張訂單只限享用此優惠1次。  
贈品優惠將以購物車為準。  
優惠期至2021年3月7日。
**滴潔超濃縮洗潔精換購優惠！**
凡購買指定產品，即可以$14.9換購高露潔精選產品！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期至2021年3月31日。",
2021-03-03,true,143.70,112.50,3.75,"**滿$250即送高露潔清新薄荷牙膏孖裝+卡通碟/杯(款式隨機發送)！**
凡購買金佰利精選產品滿$250即送高露潔 - 清新薄荷牙膏孖裝 + Hello Kitty焗盤 / 角落生物碟 (款式隨機發送)！  
數量有限，送完即止。  
每張訂單只限享用此優惠1次。  
贈品優惠將以購物車為準。  
優惠期至2021年3月7日。
**滴潔超濃縮洗潔精換購優惠！**
凡購買指定產品，即可以$14.9換購高露潔精選產品！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期至2021年3月31日。
**$35 / $42.9 / $79.9 個人護理產品換購優惠！**
凡購買指定產品，即可以$35 / $42.9 / $79.9 換購精選個人護理產品！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期至2021年3月31日。",
2021-03-04,true,143.70,112.50,3.75,"**滿$250即送高露潔清新薄荷牙膏孖裝+卡通碟/杯(款式隨機發送)！**
凡購買金佰利精選產品滿$250即送高露潔 - 清新薄荷牙膏孖裝 + Hello Kitty焗盤 / 角落生物碟 (款式隨機發送)！  
數量有限，送完即止。  
每張訂單只限享用此優惠1次。  
贈品優惠將以購物車為準。  
優惠期至2021年3月7日。
**滴潔超濃縮洗潔精換購優惠！**
凡購買指定產品，即可以$14.9換購高露潔精選產品！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期至2021年3月31日。
**$35 / $42.9 / $79.9 個人護理產品換購優惠！**
凡購買指定產品，即可以$35 / $42.9 / $79.9 換購精選個人護理產品！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期至2021年3月31日。",
2021-03-05,true,143.70,112.50,3.75,,
2021-03-06,true,143.70,112.50,3.75,,
2021-03-07,true,143.70,112.50,3.75,,
2021-03-08,true,143.70,112.50,3.75,,
2021-03-09,false,143.70,112.50,3.75,,
2021-03-10,true,143.70,112.50,3.75,,
2021-03-11,true,143.70,100.00,3.33,,
2021-03-12,true,143.70,100.00,3.33,,
2021-03-13,true,143.70,100.00,3.33,,
2021-03-14,true,143.70,112.50,3.75,,
2021-03-15,false,143.70,112.50,3.75,,
2021-03-16,true,143.70,112.50,3.75,,
2021-03-17,true,143.70,107.70,3.59,,
2021-03-18,true,143.70,107.70,3.59,,
2021-03-19,true,143.70,107.70,3.59,,
2021-03-20,true,143.70,107.70,3.59,,
