Date,Purchasable,Regular Price,Best Price,Unit Price,Promotions,Remarks
2021-03-01,true,88.00,62.00,0.37,,
2021-03-02,true,88.00,62.00,0.37,,
2021-03-03,true,88.00,62.00,0.37,,
2021-03-04,true,88.00,62.00,0.37,,
2021-03-05,true,88.00,62.00,0.37,,
2021-03-06,true,88.00,62.00,0.37,,
2021-03-07,false,88.00,62.00,0.37,,
2021-03-08,false,88.00,62.00,0.37,,
2021-03-09,false,88.00,62.00,0.37,,
2021-03-10,true,88.00,62.00,0.37,,
2021-03-11,true,88.00,62.00,0.37,,
2021-03-13,true,88.00,62.00,0.37,,
2021-03-14,true,88.00,62.00,0.37,,
2021-03-15,true,88.00,62.00,0.37,,
2021-03-16,true,88.00,62.00,0.37,,
2021-03-17,true,88.00,62.00,0.37,,
2021-03-18,true,88.00,62.00,0.37,,
2021-03-19,false,88.00,62.00,0.37,,
2021-03-20,false,88.00,62.00,0.37,,
2021-03-21,true,88.00,62.00,0.37,,
2021-03-22,true,88.00,62.00,0.37,,
2021-03-23,true,88.00,62.00,0.37,,
2021-03-24,true,88.00,62.00,0.37,,
2021-03-25,true,88.00,62.00,0.37,,
