Date,Purchasable,Regular Price,Best Price,Unit Price,Promotions,Remarks
2021-02-01,true,99.90,63.00,0.38,"**激安百貨換購優惠**
購買指定產品加$換購指定產品。  
每次交易最多換購1件。  
換購貨品數量有限，換完即止。優惠期至2021年2月2日
**【新春牛mall王】2月1日限定!**
結賬時輸入 ""5NEWYR21"" 精選產品享額外95折 ！ 只限2月1日！現附上「電子版．新春牛mall王購物攻略」，即睇更多激筍優惠！",
2021-02-02,true,99.90,63.00,0.38,"**激安百貨換購優惠**
購買指定產品加$換購指定產品。  
每次交易最多換購1件。  
換購貨品數量有限，換完即止。優惠期至2021年2月2日",
2021-02-03,true,99.90,63.00,0.38,,
2021-02-04,true,99.90,63.00,0.38,,
2021-02-05,true,99.90,63.00,0.38,,
2021-02-06,true,99.90,63.00,0.38,,
2021-02-07,true,99.90,63.00,0.38,,
2021-02-08,true,99.90,63.00,0.38,,
2021-02-09,true,99.90,63.00,0.38,,
2021-02-10,true,99.90,63.00,0.38,"**激安百貨換購優惠**
購買指定產品加$換購指定產品。  
每次交易最多換購1件。  
換購貨品數量有限，換完即止。優惠期至2021年2月11日",
2021-02-11,true,99.90,63.00,0.38,,
