Date,Purchasable,Regular Price,Best Price,Unit Price,Promotions,Remarks
2021-01-01,true,91.00,69.80,0.42,,
2021-01-02,true,91.00,69.80,0.42,,
2021-01-03,true,91.00,69.80,0.42,,
2021-01-04,true,91.00,69.80,0.42,,
2021-01-05,true,91.00,69.80,0.42,,
2021-01-06,false,91.00,69.80,0.42,,
2021-01-07,false,91.00,69.80,0.42,,
2021-01-08,false,91.00,66.00,0.39,,
2021-01-09,true,91.00,66.00,0.39,,
2021-01-10,false,91.00,66.00,0.39,,
2021-01-11,false,91.00,66.00,0.39,"**【新春牛mall王】1月11日限定!**
結賬時輸入 ""5NEWYR21"" 精選產品享額外95折 ！ 只限1月11日！現附上「電子版．新春牛mall王購物攻略」，即睇更多激筍優惠！",
2021-01-12,true,91.00,66.00,0.39,,
2021-01-13,true,91.00,66.00,0.39,,
2021-01-14,true,91.00,66.00,0.39,,
2021-01-15,true,91.00,66.00,0.39,,
2021-01-16,true,91.00,66.00,0.39,,
2021-01-17,true,91.00,66.00,0.39,,
2021-01-18,true,91.00,66.00,0.39,,
2021-01-19,true,91.00,66.00,0.39,,
2021-01-20,true,91.00,66.00,0.39,,
2021-01-21,true,91.00,66.00,0.39,,
2021-01-22,true,91.00,66.00,0.39,,
2021-01-23,true,91.00,66.00,0.39,,
2021-01-24,true,91.00,66.00,0.39,,
2021-01-25,true,91.00,66.00,0.39,,
