Date,Purchasable,Regular Price,Best Price,Unit Price,Promotions,Remarks
2021-01-01,true,98.00,59.00,0.35,,
2021-01-02,true,98.00,59.00,0.35,,
2021-01-03,true,98.00,59.00,0.35,,
2021-01-04,true,98.00,59.00,0.35,,
2021-01-05,true,98.00,59.00,0.35,,
2021-01-06,true,98.00,59.00,0.35,,
2021-01-07,true,98.00,59.00,0.35,,
2021-01-08,true,98.00,59.00,0.35,,
2021-01-09,true,98.00,58.00,0.35,,
2021-01-10,true,98.00,58.00,0.35,,
2021-01-11,true,98.00,58.00,0.35,,
2021-01-12,true,98.00,58.00,0.35,,
2021-01-13,true,98.00,58.00,0.35,,
2021-01-14,true,98.00,58.00,0.35,,
2021-01-15,false,98.00,56.00,0.33,,
2021-01-16,true,98.00,56.00,0.33,,
2021-01-17,true,98.00,56.00,0.33,,
2021-01-18,true,98.00,56.00,0.33,,
2021-01-19,true,98.00,56.00,0.33,,
2021-01-20,true,98.00,56.00,0.33,,
2021-01-21,true,98.00,56.00,0.33,,
2021-01-22,true,98.00,56.00,0.33,,
2021-01-23,true,98.00,56.00,0.33,,
2021-01-24,true,98.00,56.00,0.33,,
2021-01-25,true,98.00,56.00,0.33,,
2021-01-26,true,98.00,56.00,0.33,,
2021-01-27,true,98.00,56.00,0.33,,
