Date,Purchasable,Regular Price,Best Price,Unit Price,Promotions,Remarks
2021-02-01,true,88.80,71.00,0.42,,
2021-02-02,true,88.80,71.00,0.42,,
2021-02-03,true,88.80,71.00,0.42,,
2021-02-04,true,88.80,71.00,0.42,,
2021-02-05,true,88.80,71.00,0.42,,
2021-02-06,true,88.80,71.00,0.42,,
2021-02-07,true,88.80,71.00,0.42,,
2021-02-08,true,88.80,71.00,0.42,,
2021-02-14,true,88.80,71.00,0.42,,
2021-02-15,true,88.80,71.00,0.42,,
2021-02-16,true,88.80,71.00,0.42,,
2021-02-17,true,88.80,71.00,0.42,,
2021-02-18,true,88.80,71.00,0.42,,
2021-02-19,true,88.80,71.00,0.42,,
