Date,Purchasable,Regular Price,Best Price,Unit Price,Promotions,Remarks
2021-03-01,true,75.00,54.00,0.32,"**+$16, $22, $28換購至抵優惠**
【換購優惠！】購買產品，即可以$16, $22, $28換購至抵優惠,  
換購貨品數量有限。  
優惠期由即日至2021年3月25日或換完即止。",
2021-03-02,true,75.00,54.00,0.32,"**+$16, $22, $28換購至抵優惠**
【換購優惠！】購買產品，即可以$16, $22, $28換購至抵優惠,  
換購貨品數量有限。  
優惠期由即日至2021年3月25日或換完即止。",
2021-03-03,true,75.00,54.00,0.32,"**+$16, $22, $28換購至抵優惠**
【換購優惠！】購買產品，即可以$16, $22, $28換購至抵優惠,  
換購貨品數量有限。  
優惠期由即日至2021年3月25日或換完即止。",
2021-03-04,true,75.00,63.00,0.38,"**+$16, $22, $28換購至抵優惠**
【換購優惠！】購買產品，即可以$16, $22, $28換購至抵優惠,  
換購貨品數量有限。  
優惠期由即日至2021年3月25日或換完即止。",
2021-03-05,true,75.00,63.00,0.38,"**+$16, $22, $28換購至抵優惠**
【換購優惠！】購買產品，即可以$16, $22, $28換購至抵優惠,  
換購貨品數量有限。  
優惠期由即日至2021年3月25日或換完即止。",
2021-03-06,true,75.00,63.00,0.38,"**+$16, $22, $28換購至抵優惠**
【換購優惠！】購買產品，即可以$16, $22, $28換購至抵優惠,  
換購貨品數量有限。  
優惠期由即日至2021年3月25日或換完即止。",
2021-03-07,true,75.00,63.00,0.38,"**+$16, $22, $28換購至抵優惠**
【換購優惠！】購買產品，即可以$16, $22, $28換購至抵優惠,  
換購貨品數量有限。  
優惠期由即日至2021年3月25日或換完即止。",
2021-03-08,true,75.00,63.00,0.38,"**+$16, $22, $28換購至抵優惠**
【換購優惠！】購買產品，即可以$16, $22, $28換購至抵優惠,  
換購貨品數量有限。  
優惠期由即日至2021年3月25日或換完即止。",
2021-03-09,true,75.00,63.00,0.38,"**+$16, $22, $28換購至抵優惠**
【換購優惠！】購買產品，即可以$16, $22, $28換購至抵優惠,  
換購貨品數量有限。  
優惠期由即日至2021年3月25日或換完即止。",
2021-03-10,true,65.00,54.50,0.32,"**+$16, $22, $28換購至抵優惠**
【換購優惠！】購買產品，即可以$16, $22, $28換購至抵優惠,  
換購貨品數量有限。  
優惠期由即日至2021年3月25日或換完即止。",
2021-03-11,true,65.00,54.50,0.32,"**+$16, $22, $28換購至抵優惠**
【換購優惠！】購買產品，即可以$16, $22, $28換購至抵優惠,  
換購貨品數量有限。  
優惠期由即日至2021年3月25日或換完即止。",
2021-03-12,true,65.00,54.50,0.32,"**+$16, $22, $28換購至抵優惠**
【換購優惠！】購買產品，即可以$16, $22, $28換購至抵優惠,  
換購貨品數量有限。  
優惠期由即日至2021年3月25日或換完即止。",
2021-03-13,true,65.00,54.50,0.32,"**+$16, $22, $28換購至抵優惠**
【換購優惠！】購買產品，即可以$16, $22, $28換購至抵優惠,  
換購貨品數量有限。  
優惠期由即日至2021年3月25日或換完即止。",
2021-03-14,true,65.00,54.50,0.32,"**+$16, $22, $28換購至抵優惠**
【換購優惠！】購買產品，即可以$16, $22, $28換購至抵優惠,  
換購貨品數量有限。  
優惠期由即日至2021年3月25日或換完即止。",
2021-03-15,true,65.00,54.50,0.32,"**+$16, $22, $28換購至抵優惠**
【換購優惠！】購買產品，即可以$16, $22, $28換購至抵優惠,  
換購貨品數量有限。  
優惠期由即日至2021年3月25日或換完即止。",
2021-03-16,true,65.00,54.50,0.32,"**+$16, $22, $28換購至抵優惠**
【換購優惠！】購買產品，即可以$16, $22, $28換購至抵優惠,  
換購貨品數量有限。  
優惠期由即日至2021年3月25日或換完即止。",
2021-03-17,true,65.00,54.50,0.32,"**+$16, $22, $28換購至抵優惠**
【換購優惠！】購買產品，即可以$16, $22, $28換購至抵優惠,  
換購貨品數量有限。  
優惠期由即日至2021年3月25日或換完即止。",
2021-03-18,true,65.00,54.50,0.32,"**+$16, $22, $28換購至抵優惠**
【換購優惠！】購買產品，即可以$16, $22, $28換購至抵優惠,  
換購貨品數量有限。  
優惠期由即日至2021年3月25日或換完即止。",
2021-03-19,true,65.00,59.00,0.35,"**+$16, $22, $28換購至抵優惠**
【換購優惠！】購買產品，即可以$16, $22, $28換購至抵優惠,  
換購貨品數量有限。  
優惠期由即日至2021年3月25日或換完即止。",
2021-03-20,true,65.00,59.00,0.35,"**+$16, $22, $28換購至抵優惠**
【換購優惠！】購買產品，即可以$16, $22, $28換購至抵優惠,  
換購貨品數量有限。  
優惠期由即日至2021年3月25日或換完即止。",
2021-03-21,true,65.00,59.00,0.35,"**+$16, $22, $28換購至抵優惠**
【換購優惠！】購買產品，即可以$16, $22, $28換購至抵優惠,  
換購貨品數量有限。  
優惠期由即日至2021年3月25日或換完即止。",
2021-03-22,true,65.00,59.00,0.35,"**+$16, $22, $28換購至抵優惠**
【換購優惠！】購買產品，即可以$16, $22, $28換購至抵優惠,  
換購貨品數量有限。  
優惠期由即日至2021年3月25日或換完即止。",
2021-03-23,true,65.00,59.00,0.35,"**+$16, $22, $28換購至抵優惠**
【換購優惠！】購買產品，即可以$16, $22, $28換購至抵優惠,  
換購貨品數量有限。  
優惠期由即日至2021年3月25日或換完即止。",
2021-03-24,true,65.00,59.00,0.35,"**+$16, $22, $28換購至抵優惠**
【換購優惠！】購買產品，即可以$16, $22, $28換購至抵優惠,  
換購貨品數量有限。  
優惠期由即日至2021年3月25日或換完即止。",
