Date,Purchasable,Regular Price,Best Price,Unit Price,Promotions,Remarks
2021-03-01,true,85.00,55.00,0.33,,
2021-03-02,true,85.00,55.00,0.33,,
2021-03-03,true,85.00,55.00,0.33,,
2021-03-04,true,85.00,55.00,0.33,,
2021-03-05,false,85.00,55.00,0.33,,
2021-03-06,true,85.00,55.00,0.33,,
2021-03-07,true,85.00,55.00,0.33,,
2021-03-08,true,85.00,55.00,0.33,,
2021-03-09,true,85.00,55.00,0.33,,
2021-03-10,true,85.00,55.00,0.33,,
2021-03-11,true,85.00,55.00,0.33,,
2021-03-12,true,85.00,55.00,0.33,,
2021-03-13,true,85.00,55.00,0.33,,
2021-03-14,true,85.00,55.00,0.33,,
2021-03-15,true,85.00,55.00,0.33,,
2021-03-16,true,85.00,54.00,0.32,"**限定換購優惠！**
凡購買任何指定產品，即可以$35 / $45 換購精選產品！  
每次交易最多可換購產品8件  
換購貨品數量有限，換完即止。  
優惠將以購物車為準。  
優惠期至2021年4月15日。",
2021-03-17,true,85.00,54.00,0.32,"**限定換購優惠！**
凡購買任何指定產品，即可以$35 / $45 換購精選產品！  
每次交易最多可換購產品8件  
換購貨品數量有限，換完即止。  
優惠將以購物車為準。  
優惠期至2021年4月15日。",
2021-03-18,true,85.00,54.00,0.32,"**限定換購優惠！**
凡購買任何指定產品，即可以$35 / $45 換購精選產品！  
每次交易最多可換購產品8件  
換購貨品數量有限，換完即止。  
優惠將以購物車為準。  
優惠期至2021年4月15日。",
2021-03-19,false,85.00,54.00,0.32,"**限定換購優惠！**
凡購買任何指定產品，即可以$35 / $45 換購精選產品！  
每次交易最多可換購產品8件  
換購貨品數量有限，換完即止。  
優惠將以購物車為準。  
優惠期至2021年4月15日。",
2021-03-20,true,85.00,58.00,0.35,"**限定換購優惠！**
凡購買任何指定產品，即可以$35 / $45 換購精選產品！  
每次交易最多可換購產品8件  
換購貨品數量有限，換完即止。  
優惠將以購物車為準。  
優惠期至2021年4月15日。",
2021-03-21,true,85.00,58.00,0.35,"**限定換購優惠！**
凡購買任何指定產品，即可以$35 / $45 換購精選產品！  
每次交易最多可換購產品8件  
換購貨品數量有限，換完即止。  
優惠將以購物車為準。  
優惠期至2021年4月15日。",
