Date,Purchasable,Regular Price,Best Price,Unit Price,Promotions,Remarks
2021-02-01,false,129.90,94.90,11.86,"**+$換原隻火腿/原個芝士**
買指定產品+$2220ELPOZO - 西班牙有骨黑毛豬風乾火腿 後腿 (24個月)連刀架 – 大約7公斤  
+$6888換購Ambrosi - 意大利15個月高級巴馬臣芝士 Grana Padano 原個約35kg  
+$8888換購Ambrosi - 意大利22個月特級巴馬臣芝士 Parmesan Cheese DOP 原個約35kg<>BR每單交易可享此優惠3次。  
換購貨品數量有限，換完即止。
**+$換購**
買指定產品+$換購芝士<>BR每單交易可享此優惠3次。  
換購貨品數量有限，換完即止。
**【新春牛mall王】2月1日限定!**
結賬時輸入 ""5NEWYR21"" 精選產品享額外95折 ！ 只限2月1日！現附上「電子版．新春牛mall王購物攻略」，即睇更多激筍優惠！",
2021-02-02,true,129.90,94.90,11.86,"**+$換原隻火腿/原個芝士**
買指定產品+$2220ELPOZO - 西班牙有骨黑毛豬風乾火腿 後腿 (24個月)連刀架 – 大約7公斤  
+$6888換購Ambrosi - 意大利15個月高級巴馬臣芝士 Grana Padano 原個約35kg  
+$8888換購Ambrosi - 意大利22個月特級巴馬臣芝士 Parmesan Cheese DOP 原個約35kg<>BR每單交易可享此優惠3次。  
換購貨品數量有限，換完即止。
**+$換購**
買指定產品+$換購芝士<>BR每單交易可享此優惠3次。  
換購貨品數量有限，換完即止。",
2021-02-03,true,129.90,94.90,11.86,"**+$換原隻火腿/原個芝士**
買指定產品+$2220ELPOZO - 西班牙有骨黑毛豬風乾火腿 後腿 (24個月)連刀架 – 大約7公斤  
+$6888換購Ambrosi - 意大利15個月高級巴馬臣芝士 Grana Padano 原個約35kg  
+$8888換購Ambrosi - 意大利22個月特級巴馬臣芝士 Parmesan Cheese DOP 原個約35kg<>BR每單交易可享此優惠3次。  
換購貨品數量有限，換完即止。
**+$換購**
買指定產品+$換購芝士<>BR每單交易可享此優惠3次。  
換購貨品數量有限，換完即止。",
2021-02-04,true,129.90,94.90,11.86,"**+$換原隻火腿/原個芝士**
買指定產品+$2220ELPOZO - 西班牙有骨黑毛豬風乾火腿 後腿 (24個月)連刀架 – 大約7公斤  
+$6888換購Ambrosi - 意大利15個月高級巴馬臣芝士 Grana Padano 原個約35kg  
+$8888換購Ambrosi - 意大利22個月特級巴馬臣芝士 Parmesan Cheese DOP 原個約35kg<>BR每單交易可享此優惠3次。  
換購貨品數量有限，換完即止。
**+$換購**
買指定產品+$換購芝士<>BR每單交易可享此優惠3次。  
換購貨品數量有限，換完即止。",
2021-02-05,true,129.90,94.90,11.86,"**+$換原隻火腿/原個芝士**
買指定產品+$2220ELPOZO - 西班牙有骨黑毛豬風乾火腿 後腿 (24個月)連刀架 – 大約7公斤  
+$6888換購Ambrosi - 意大利15個月高級巴馬臣芝士 Grana Padano 原個約35kg  
+$8888換購Ambrosi - 意大利22個月特級巴馬臣芝士 Parmesan Cheese DOP 原個約35kg<>BR每單交易可享此優惠3次。  
換購貨品數量有限，換完即止。
**+$換購**
買指定產品+$換購芝士<>BR每單交易可享此優惠3次。  
換購貨品數量有限，換完即止。",
2021-02-06,true,129.90,94.90,11.86,"**+$換原隻火腿/原個芝士**
買指定產品+$2220ELPOZO - 西班牙有骨黑毛豬風乾火腿 後腿 (24個月)連刀架 – 大約7公斤  
+$6888換購Ambrosi - 意大利15個月高級巴馬臣芝士 Grana Padano 原個約35kg  
+$8888換購Ambrosi - 意大利22個月特級巴馬臣芝士 Parmesan Cheese DOP 原個約35kg<>BR每單交易可享此優惠3次。  
換購貨品數量有限，換完即止。
**+$換購**
買指定產品+$換購芝士<>BR每單交易可享此優惠3次。  
換購貨品數量有限，換完即止。",
2021-02-07,true,129.90,94.90,11.86,"**+$換原隻火腿/原個芝士**
買指定產品+$2220ELPOZO - 西班牙有骨黑毛豬風乾火腿 後腿 (24個月)連刀架 – 大約7公斤  
+$6888換購Ambrosi - 意大利15個月高級巴馬臣芝士 Grana Padano 原個約35kg  
+$8888換購Ambrosi - 意大利22個月特級巴馬臣芝士 Parmesan Cheese DOP 原個約35kg<>BR每單交易可享此優惠3次。  
換購貨品數量有限，換完即止。
**+$換購**
買指定產品+$換購芝士<>BR每單交易可享此優惠3次。  
換購貨品數量有限，換完即止。",
2021-02-08,true,129.90,94.90,11.86,"**+$換原隻火腿/原個芝士**
買指定產品+$2220ELPOZO - 西班牙有骨黑毛豬風乾火腿 後腿 (24個月)連刀架 – 大約7公斤  
+$6888換購Ambrosi - 意大利15個月高級巴馬臣芝士 Grana Padano 原個約35kg  
+$8888換購Ambrosi - 意大利22個月特級巴馬臣芝士 Parmesan Cheese DOP 原個約35kg<>BR每單交易可享此優惠3次。  
換購貨品數量有限，換完即止。
**+$換購**
買指定產品+$換購芝士<>BR每單交易可享此優惠3次。  
換購貨品數量有限，換完即止。",
2021-02-09,true,129.90,94.90,11.86,"**+$換原隻火腿/原個芝士**
買指定產品+$2220ELPOZO - 西班牙有骨黑毛豬風乾火腿 後腿 (24個月)連刀架 – 大約7公斤  
+$6888換購Ambrosi - 意大利15個月高級巴馬臣芝士 Grana Padano 原個約35kg  
+$8888換購Ambrosi - 意大利22個月特級巴馬臣芝士 Parmesan Cheese DOP 原個約35kg<>BR每單交易可享此優惠3次。  
換購貨品數量有限，換完即止。
**+$換購**
買指定產品+$換購芝士<>BR每單交易可享此優惠3次。  
換購貨品數量有限，換完即止。",
2021-02-10,true,129.90,94.90,11.86,"**+$換原隻火腿/原個芝士**
買指定產品+$2220ELPOZO - 西班牙有骨黑毛豬風乾火腿 後腿 (24個月)連刀架 – 大約7公斤  
+$6888換購Ambrosi - 意大利15個月高級巴馬臣芝士 Grana Padano 原個約35kg  
+$8888換購Ambrosi - 意大利22個月特級巴馬臣芝士 Parmesan Cheese DOP 原個約35kg<>BR每單交易可享此優惠3次。  
換購貨品數量有限，換完即止。
**+$換購**
買指定產品+$換購芝士<>BR每單交易可享此優惠3次。  
換購貨品數量有限，換完即止。",
