Date,Purchasable,Regular Price,Best Price,Unit Price,Promotions,Remarks
2021-03-01,true,45.90,34.90,2.91,,
2021-03-02,true,45.90,34.90,2.91,,
2021-03-03,true,45.90,34.90,2.91,"**$35 / $42.9 / $79.9 個人護理產品換購優惠！**
凡購買指定產品，即可以$35 / $42.9 / $79.9 換購精選個人護理產品！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期至2021年3月31日。",
2021-03-04,true,45.90,34.90,2.91,"**$35 / $42.9 / $79.9 個人護理產品換購優惠！**
凡購買指定產品，即可以$35 / $42.9 / $79.9 換購精選個人護理產品！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期至2021年3月31日。",
2021-03-05,true,45.90,34.90,2.91,"**$35 / $42.9 / $79.9 個人護理產品換購優惠！**
凡購買指定產品，即可以$35 / $42.9 / $79.9 換購精選個人護理產品！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期至2021年3月31日。",
2021-03-06,true,45.90,34.90,2.91,"**$35 / $42.9 / $79.9 個人護理產品換購優惠！**
凡購買指定產品，即可以$35 / $42.9 / $79.9 換購精選個人護理產品！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期至2021年3月31日。
**精選產品9折**
精選產品9折  
每宗交易優惠只限最多一次。數量有限，售完即止! 最終之專享價將顯示於結賬頁面。",
2021-03-07,true,45.90,34.90,2.91,"**$35 / $42.9 / $79.9 個人護理產品換購優惠！**
凡購買指定產品，即可以$35 / $42.9 / $79.9 換購精選個人護理產品！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期至2021年3月31日。
**精選產品9折**
精選產品9折  
每宗交易優惠只限最多一次。數量有限，售完即止! 最終之專享價將顯示於結賬頁面。",
2021-03-08,true,45.90,34.90,2.91,"**$35 / $42.9 / $79.9 個人護理產品換購優惠！**
凡購買指定產品，即可以$35 / $42.9 / $79.9 換購精選個人護理產品！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期至2021年3月31日。
**精選產品9折**
精選產品9折  
每宗交易優惠只限最多一次。數量有限，售完即止! 最終之專享價將顯示於結賬頁面。",
2021-03-09,true,45.90,34.90,2.91,,
2021-03-10,true,45.90,34.90,2.91,"**精選產品9折**
精選產品9折  
每宗交易優惠只限最多一次。數量有限，售完即止! 最終之專享價將顯示於結賬頁面。",
2021-03-11,true,45.90,34.90,2.91,"**精選產品9折**
精選產品9折  
每宗交易優惠只限最多一次。數量有限，售完即止! 最終之專享價將顯示於結賬頁面。",
2021-03-12,true,45.90,34.90,2.91,"**精選產品9折**
精選產品9折  
每宗交易優惠只限最多一次。數量有限，售完即止! 最終之專享價將顯示於結賬頁面。",
2021-03-13,true,45.90,34.90,2.91,"**精選產品9折**
精選產品9折  
每宗交易優惠只限最多一次。數量有限，售完即止! 最終之專享價將顯示於結賬頁面。",
2021-03-14,true,45.90,34.90,2.91,"**精選產品9折**
精選產品9折  
每宗交易優惠只限最多一次。數量有限，售完即止! 最終之專享價將顯示於結賬頁面。",
2021-03-15,true,45.90,34.90,2.91,"**精選產品9折**
精選產品9折  
每宗交易優惠只限最多一次。數量有限，售完即止! 最終之專享價將顯示於結賬頁面。",
2021-03-16,true,45.90,34.90,2.91,,
2021-03-17,true,45.90,34.90,2.91,,
2021-03-18,true,45.90,34.90,2.91,,
2021-03-19,true,45.90,34.90,2.91,,
2021-03-20,true,45.90,34.90,2.91,,
