Date,Purchasable,Regular Price,Best Price,Unit Price,Promotions,Remarks
2021-03-01,true,68.00,59.90,4.99,,
2021-03-02,true,68.00,59.90,4.99,,
2021-03-03,true,68.00,59.90,4.99,,
2021-03-04,true,68.00,59.90,4.99,,
2021-03-05,true,68.00,59.90,4.99,,
2021-03-06,true,68.00,59.90,4.99,,
2021-03-07,true,68.00,59.90,4.99,,
2021-03-08,true,68.00,59.90,4.99,,
2021-03-09,true,68.00,59.90,4.99,,
2021-03-10,true,68.00,59.90,4.99,,
2021-03-11,true,68.00,59.90,4.99,,
2021-03-12,true,68.00,59.90,4.99,,
2021-03-13,true,68.00,59.90,4.99,,
2021-03-14,true,68.00,59.90,4.99,,
2021-03-15,true,68.00,59.90,4.99,,
2021-03-16,true,68.00,59.90,4.99,,
2021-03-17,true,68.00,59.90,4.99,,
2021-03-18,true,68.00,59.90,4.99,,
2021-03-19,false,68.00,59.90,4.99,,
2021-03-20,false,68.00,59.90,4.99,,
2021-03-21,false,68.00,59.90,4.99,,
2021-03-22,false,68.00,59.90,4.99,,
2021-03-23,true,68.00,59.90,4.99,,
2021-03-24,true,68.00,59.90,4.99,,
2021-03-25,true,68.00,59.90,4.99,,
