Date,Purchasable,Regular Price,Best Price,Unit Price,Promotions,Remarks
2021-04-01,true,45.90,34.90,2.91,"**6折換購虎標酸痛凝膠優惠！**
【6折換購虎標酸痛凝膠優惠！】凡購買精選產品，即可以$29.9換購虎標 酸痛凝膠60克  
換購貨品數量有限，換完即止。  
優惠期由即日至2021年4月1日。
**換購精選產品**
購買指定產品換購精產產品。  
每次交易最多換購1件。  
換購貨品數量有限，換完即止。優惠期至2021年4月30日
**$28.9換購虎標驅蚊貼！**
【換購優惠！】凡購買精選產品，即可以$28.9換購驅蚊貼10片  
換購貨品數量有限，換完即止。  
優惠期由即日至2021年4月4日。",
2021-04-02,true,45.90,34.90,2.91,"**換購精選產品**
購買指定產品換購精產產品。  
每次交易最多換購1件。  
換購貨品數量有限，換完即止。優惠期至2021年4月30日
**$28.9換購虎標驅蚊貼！**
【換購優惠！】凡購買精選產品，即可以$28.9換購驅蚊貼10片  
換購貨品數量有限，換完即止。  
優惠期由即日至2021年4月4日。",
2021-04-03,true,45.90,34.90,2.91,"**換購精選產品**
購買指定產品換購精產產品。  
每次交易最多換購1件。  
換購貨品數量有限，換完即止。優惠期至2021年4月30日
**$28.9換購虎標驅蚊貼！**
【換購優惠！】凡購買精選產品，即可以$28.9換購驅蚊貼10片  
換購貨品數量有限，換完即止。  
優惠期由即日至2021年4月4日。",
2021-04-04,true,45.90,34.90,2.91,"**換購精選產品**
購買指定產品換購精產產品。  
每次交易最多換購1件。  
換購貨品數量有限，換完即止。優惠期至2021年4月30日
**$28.9換購虎標驅蚊貼！**
【換購優惠！】凡購買精選產品，即可以$28.9換購驅蚊貼10片  
換購貨品數量有限，換完即止。  
優惠期由即日至2021年4月4日。",
2021-04-05,true,45.90,34.90,2.91,"**換購精選產品**
購買指定產品換購精產產品。  
每次交易最多換購1件。  
換購貨品數量有限，換完即止。優惠期至2021年4月30日",
2021-04-07,true,45.90,34.90,2.91,"**換購精選產品**
購買指定產品換購精產產品。  
每次交易最多換購1件。  
換購貨品數量有限，換完即止。優惠期至2021年4月30日",
2021-04-13,true,45.90,34.90,2.91,"****買2套$66.90  
平均****$33.45****
****買3套$99.20  
平均****$33.07****
****買4套$129.90  
平均****$32.48****
**換購精選產品**
購買指定產品換購精產產品。  
每次交易最多換購1件。  
換購貨品數量有限，換完即止。優惠期至2021年4月30日
**【天然有機抗敏週】$29/$49/$89 換購優惠**
凡購買任何超級市場產品\*，即可以優惠價換購指定天然/有機/抗敏產品！  
換購日期至2021年4月25日，貨品數量有限，換完即止。  
\*每張訂單只限享用以上優惠1次，受條款及細則約束。",
2021-04-14,true,45.90,34.90,2.91,"****買2套$66.90  
平均****$33.45****
****買3套$99.20  
平均****$33.07****
****買4套$129.90  
平均****$32.48****
**換購精選產品**
購買指定產品換購精產產品。  
每次交易最多換購1件。  
換購貨品數量有限，換完即止。優惠期至2021年4月30日
**【天然有機抗敏週】$29/$49/$89 換購優惠**
凡購買任何超級市場產品\*，即可以優惠價換購指定天然/有機/抗敏產品！  
換購日期至2021年4月25日，貨品數量有限，換完即止。  
\*每張訂單只限享用以上優惠1次，受條款及細則約束。
**買任何飲品，即可以$15 換購瑞士製造搓手液一支(原價: $36.9)**
買任何飲品，即可以$15 換購瑞士製造搓手液一支(原價: $36.9)  
換購貨品數量有限，換完即止。",
2021-04-15,true,45.90,34.90,2.91,"****買2套$66.90  
平均****$33.45****
****買3套$99.20  
平均****$33.07****
****買4套$129.90  
平均****$32.48****
**換購精選產品**
購買指定產品換購精產產品。  
每次交易最多換購1件。  
換購貨品數量有限，換完即止。優惠期至2021年4月30日
**【天然有機抗敏週】$29/$49/$89 換購優惠**
凡購買任何超級市場產品\*，即可以優惠價換購指定天然/有機/抗敏產品！  
換購日期至2021年4月25日，貨品數量有限，換完即止。  
\*每張訂單只限享用以上優惠1次，受條款及細則約束。
**買任何飲品，即可以$15 換購瑞士製造搓手液一支(原價: $36.9)**
買任何飲品，即可以$15 換購瑞士製造搓手液一支(原價: $36.9)  
換購貨品數量有限，換完即止。",
2021-04-18,true,45.90,34.90,2.91,"****買2套$66.90  
平均****$33.45****
****買3套$99.20  
平均****$33.07****
****買4套$129.90  
平均****$32.48****
**【天然有機抗敏週】$29/$49/$89 換購優惠**
凡購買任何超級市場產品\*，即可以優惠價換購指定天然/有機/抗敏產品！  
換購日期至2021年4月25日，貨品數量有限，換完即止。  
\*每張訂單只限享用以上優惠1次，受條款及細則約束。
**優之源®換購優惠！**
【換購優惠！】凡購買精選產品，即可以$15換購優之源®酣睡啫喱棒 / $20換購優之源®酣睡飲  
換購貨品數量有限，換完即止。  
優惠期由即日至2021年8月31日。
**買任何飲品，即可以$15 換購瑞士製造搓手液一支(原價: $36.9)**
買任何飲品，即可以$15 換購瑞士製造搓手液一支(原價: $36.9)  
換購貨品數量有限，換完即止。",
