Date,Purchasable,Regular Price,Best Price,Unit Price,Promotions,Remarks
2021-02-01,true,95.40,66.90,2.79,"**激安百貨換購優惠**
購買指定產品加$換購指定產品。  
每次交易最多換購1件。  
換購貨品數量有限，換完即止。優惠期至2021年2月2日
**【新春牛mall王】2月1日限定!**
結賬時輸入 ""5NEWYR21"" 精選產品享額外95折 ！ 只限2月1日！現附上「電子版．新春牛mall王購物攻略」，即睇更多激筍優惠！",
2021-02-02,true,95.40,66.90,2.79,"**激安百貨換購優惠**
購買指定產品加$換購指定產品。  
每次交易最多換購1件。  
換購貨品數量有限，換完即止。優惠期至2021年2月2日",
2021-02-03,true,95.40,66.90,2.79,"**淳茶舍換購優惠**
購買指定產品加$30換購指定淳茶舍500毫升X6支。  
每次交易最多換購1件。  
換購貨品數量有限，換完即止。優惠期至2021年2月9日",
2021-02-04,true,95.40,66.90,2.79,"**淳茶舍/v換購優惠**
購買指定產品加錢換購指定飲品。  
每次交易最多換購1件。  
換購貨品數量有限，換完即止。優惠期至2021年2月9日",
2021-02-05,true,95.40,66.90,2.79,"**淳茶舍/v換購優惠**
購買指定產品加錢換購指定飲品。  
每次交易最多換購1件。  
換購貨品數量有限，換完即止。優惠期至2021年2月9日",
2021-02-06,true,95.40,66.90,2.79,"**淳茶舍/v換購優惠**
購買指定產品加錢換購指定飲品。  
每次交易最多換購1件。  
換購貨品數量有限，換完即止。優惠期至2021年2月9日",
2021-02-07,true,95.40,66.90,2.79,"**淳茶舍/v換購優惠**
購買指定產品加錢換購指定飲品。  
每次交易最多換購1件。  
換購貨品數量有限，換完即止。優惠期至2021年2月9日",
2021-02-08,true,95.40,66.90,2.79,"**淳茶舍/v換購優惠**
購買指定產品加錢換購指定飲品。  
每次交易最多換購1件。  
換購貨品數量有限，換完即止。優惠期至2021年2月9日",
2021-02-09,true,95.40,66.90,2.79,"**淳茶舍/v換購優惠**
購買指定產品加錢換購指定飲品。  
每次交易最多換購1件。  
換購貨品數量有限，換完即止。優惠期至2021年2月9日",
2021-02-10,true,95.40,66.90,2.79,"**激安百貨換購優惠**
購買指定產品加$換購指定產品。  
每次交易最多換購1件。  
換購貨品數量有限，換完即止。優惠期至2021年2月11日",
2021-02-11,true,95.40,66.90,2.79,"**激安百貨換購優惠**
購買指定產品加$換購指定產品。  
每次交易最多換購1件。  
換購貨品數量有限，換完即止。優惠期至2021年2月11日",
2021-02-12,true,95.40,66.90,2.79,"**零食/飲品換購優惠！**
【換購優惠！】凡購買任何精選零食產品，即可以$10, $25, $30換購,至抵零食優惠  
換購貨品數量有限。  
優惠期由即日至2021年2月28日或換完即止。",
2021-02-13,true,95.40,66.90,2.79,"**零食/飲品換購優惠！**
【換購優惠！】凡購買任何精選零食產品，即可以$10, $25, $30換購,至抵零食優惠  
換購貨品數量有限。  
優惠期由即日至2021年2月28日或換完即止。",
2021-02-14,true,95.40,66.90,2.79,"**零食/飲品換購優惠！**
【換購優惠！】凡購買任何精選零食產品，即可以$10, $25, $30換購,至抵零食優惠  
換購貨品數量有限。  
優惠期由即日至2021年2月28日或換完即止。",
2021-02-15,true,95.40,66.90,2.79,"**零食/飲品換購優惠！**
【換購優惠！】凡購買任何精選零食產品，即可以$10, $25, $30換購,至抵零食優惠  
換購貨品數量有限。  
優惠期由即日至2021年2月28日或換完即止。",
2021-02-16,true,95.40,66.90,2.79,"**零食/飲品換購優惠！**
【換購優惠！】凡購買任何精選零食產品，即可以$10, $25, $30換購,至抵零食優惠  
換購貨品數量有限。  
優惠期由即日至2021年2月28日或換完即止。",
2021-02-17,true,95.40,66.90,2.79,"**零食/飲品換購優惠！**
【換購優惠！】凡購買任何精選零食產品，即可以$10, $25, $30換購,至抵零食優惠  
換購貨品數量有限。  
優惠期由即日至2021年2月28日或換完即止。
**【網上食品展 X BB展 X 寵物展】額外95折優惠!**
結賬時輸入DV7fair5即享額外95折 ！ 優惠只適用於2月17日！現附上「電子版．三大展覽購物攻略」，即睇更多激筍優惠！",
